x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,0,1
0.14,1,0,1
0.15,1,0,1
0.16,1,0,1
0.17,1,5.23178e-17,1
0.18,1,4.71028e-16,1
0.19,1,3.98983e-15,1
0.2,1,2.99752e-14,1
0.21,1,2.162e-13,1
0.22,1,1.49314e-12,1
0.23,1,9.87962e-12,1
0.24,1,6.46643e-11,1
0.25,1,4.33384e-10,1
0.26,1,2.68454e-09,1
0.27,1,1.2741e-08,1
0.28,1,5.44893e-08,1
0.29,1,2.40428e-07,1
0.3,0.999999,9.9657e-07,0.999999
0.31,0.999997,3.88626e-06,0.999995
0.32,0.999988,1.42283e-05,0.999983
0.33,0.999958,4.87959e-05,0.999942
0.34,0.999865,0.000156353,0.999815
0.35,0.999597,0.000466759,0.999447
0.36,0.998879,0.00129416,0.998466
0.37,0.997113,0.00332158,0.996065
0.38,0.993136,0.00786422,0.990693
0.39,0.985002,0.0171177,0.979803
0.4,0.970005,0.0341503,0.959973
0.41,0.945298,0.0623132,0.927833
0.42,0.909164,0.103967,0.881815
0.43,0.862256,0.159113,0.823649
0.44,0.807587,0.225107,0.758017
0.45,0.749097,0.297902,0.690354
0.46,0.690148,0.373612,0.624852
0.47,0.633014,0.449155,0.563998
0.48,0.579076,0.522117,0.509011
0.49,0.529109,0.590469,0.460354
0.5,0.483517,0.650312,0.418342
0.51,0.441908,0.701297,0.382009
0.52,0.404003,0.743686,0.350484
0.53,0.369941,0.773419,0.323836
0.54,0.339255,0.788899,0.301196
0.55,0.311436,0.788847,0.281561
0.56,0.285979,0.772388,0.26383
0.57,0.262442,0.739075,0.246895
0.58,0.240493,0.688873,0.229776
0.59,0.219947,0.622231,0.211794
0.6,0.20078,0.540376,0.192746
0.61,0.183137,0.446011,0.173041
0.62,0.167322,0.34437,0.15372
0.63,0.153776,0.244006,0.13628
0.64,0.142976,0.155811,0.1222
0.65,0.135201,0.0888802,0.112258
0.66,0.130259,0.0455981,0.106159
0.67,0.12749,0.0214254,0.102861
0.68,0.1261,0.00939828,0.101248
0.69,0.125458,0.00390091,0.100517
0.7,0.125182,0.00154367,0.100204
0.71,0.125069,0.000584512,0.100077
0.72,0.125025,0.000212112,0.100028
0.73,0.125009,7.38152e-05,0.10001
0.74,0.125003,2.46401e-05,0.100003
0.75,0.125001,7.89073e-06,0.100001
0.76,0.125,2.42408e-06,0.1
0.77,0.125,7.15215e-07,0.1
0.78,0.125,1.98376e-07,0.1
0.79,0.125,5.08832e-08,0.1
0.8,0.125,1.43934e-08,0.1
0.81,0.125,4.06145e-09,0.1
0.82,0.125,9.87027e-10,0.1
0.83,0.125,2.29307e-10,0.1
0.84,0.125,5.10703e-11,0.1
0.85,0.125,1.0914e-11,0.1
0.86,0.125,2.23928e-12,0.1
0.87,0.125,4.41139e-13,0.1
0.88,0.125,8.34475e-14,0.1
0.89,0.125,1.50943e-14,0.1
0.9,0.125,2.58121e-15,0.1
0.91,0.125,4.4171e-16,0.1
0.92,0.125,4.06658e-17,0.1
0.93,0.125,0,0.1
0.94,0.125,0,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,0,0.1
0.99,0.125,0,0.1
1,0.125,0,0.1
