x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,4.46621e-17,1
0.06,1,2.51289e-16,1
0.07,1,1.59164e-15,1
0.08,1,7.8534e-15,1
0.09,1,3.77284e-14,1
0.1,1,1.75844e-13,1
0.11,1,8.01005e-13,1
0.12,1,3.60486e-12,1
0.13,1,1.62779e-11,1
0.14,1,7.449e-11,1
0.15,1,3.43362e-10,1
0.16,1,1.67692e-09,1
0.17,1,6.63465e-09,1
0.18,1,2.05405e-08,1
0.19,1,6.7024e-08,1
0.2,1,2.17577e-07,1
0.21,0.999999,6.79573e-07,0.999999
0.22,0.999998,2.03885e-06,0.999998
0.23,0.999995,5.87079e-06,0.999993
0.24,0.999986,1.62068e-05,0.999981
0.25,0.999964,4.2841e-05,0.999949
0.26,0.999908,0.000108299,0.999872
0.27,0.999778,0.000261444,0.999691
0.28,0.99949,0.000601839,0.999288
0.29,0.998881,0.00131901,0.99844
0.3,0.997666,0.00274776,0.996752
0.31,0.995382,0.00543219,0.993585
0.32,0.991343,0.010176,0.988007
0.33,0.984652,0.0180397,0.978814
0.34,0.974297,0.0302403,0.964686
0.35,0.95936,0.0479318,0.944492
0.36,0.939293,0.0719133,0.917672
0.37,0.914122,0.102384,0.884508
0.38,0.884472,0.138882,0.846103
0.39,0.851378,0.180448,0.804071
0.4,0.815998,0.225905,0.76012
0.41,0.7794,0.274097,0.715738
0.42,0.742453,0.324014,0.672075
0.43,0.705824,0.374814,0.629946
0.44,0.670006,0.425792,0.589902
0.45,0.635362,0.476341,0.552296
0.46,0.602158,0.525906,0.51735
0.47,0.570586,0.573956,0.485191
0.48,0.540775,0.619962,0.45588
0.49,0.512799,0.663387,0.429425
0.5,0.486661,0.703229,0.405842
0.51,0.462159,0.739554,0.384792
0.52,0.439186,0.772496,0.366028
0.53,0.417798,0.801014,0.349618
0.54,0.397887,0.824631,0.335397
0.55,0.379297,0.842974,0.323137
0.56,0.361849,0.855769,0.312549
0.57,0.345349,0.862832,0.303294
0.58,0.32961,0.864043,0.29499
0.59,0.31446,0.85931,0.287228
0.6,0.299756,0.848519,0.279587
0.61,0.285385,0.831485,0.271652
0.62,0.271266,0.80791,0.263042
0.63,0.257349,0.777364,0.253425
0.64,0.243602,0.739296,0.242549
0.65,0.230013,0.693098,0.230259
0.66,0.216589,0.638235,0.216532
0.67,0.203365,0.574463,0.201512
0.68,0.190422,0.502167,0.18554
0.69,0.177918,0.422805,0.169187
0.7,0.166113,0.339411,0.153243
0.71,0.155375,0.256846,0.138636
0.72,0.146135,0.181315,0.126246
0.73,0.138755,0.118675,0.116642
0.74,0.133365,0.0721211,0.10988
0.75,0.12978,0.0410531,0.105538
0.76,0.127591,0.0221574,0.102962
0.77,0.126346,0.0114679,0.101525
0.78,0.125675,0.00573834,0.100761
0.79,0.125329,0.00279012,0.10037
0.8,0.125156,0.00132191,0.100175
0.81,0.125072,0.00061112,0.100081
0.82,0.125033,0.000275843,0.100036
0.83,0.125014,0.000121591,0.100016
0.84,0.125006,5.23434e-05,0.100007
0.85,0.125003,2.20052e-05,0.100003
0.86,0.125001,9.03381e-06,0.100001
0.87,0.125,3.62139e-06,0.1
0.88,0.125,1.41746e-06,0.1
0.89,0.125,5.41855e-07,0.1
0.9,0.125,1.98263e-07,0.1
0.91,0.125,6.78324e-08,0.1
0.92,0.125,2.4865e-08,0.1
0.93,0.125,9.58797e-09,0.1
0.94,0.125,3.33226e-09,0.1
0.95,0.125,1.11299e-09,0.1
0.96,0.125,3.62131e-10,0.1
0.97,0.125,1.14913e-10,0.1
0.98,0.125,3.54565e-11,0.1
0.99,0.125,1.00194e-11,0.1
1,0.125,0,0.1
