x,rho,u,p
0,1,0,1
0.01,1,2.44467e-10,1
0.02,1,1.08594e-09,1
0.03,1,4.09582e-09,1
0.04,1,1.09458e-08,1
0.05,1,2.61816e-08,1
0.06,1,6.81211e-08,1
0.07,1,1.75977e-07,1
0.08,1,4.43004e-07,0.999999
0.09,0.999999,1.0854e-06,0.999999
0.1,0.999998,2.58735e-06,0.999997
0.11,0.999995,5.99779e-06,0.999993
0.12,0.999989,1.3513e-05,0.999984
0.13,0.999975,2.95716e-05,0.999965
0.14,0.999947,6.28183e-05,0.999926
0.15,0.999891,0.000129448,0.999847
0.16,0.999781,0.000258582,0.999694
0.17,0.999577,0.000500357,0.999408
0.18,0.999207,0.00093717,0.998892
0.19,0.998564,0.00169781,0.997993
0.2,0.997486,0.00297284,0.996487
0.21,0.995748,0.00502773,0.994064
0.22,0.99306,0.00820804,0.990324
0.23,0.989074,0.0129299,0.984791
0.24,0.983415,0.0196506,0.97696
0.25,0.975724,0.0288179,0.96636
0.26,0.965718,0.0408074,0.952642
0.27,0.953244,0.0558614,0.935648
0.28,0.938311,0.0740507,0.915454
0.29,0.921086,0.0952703,0.892362
0.3,0.901859,0.11927,0.866838
0.31,0.880994,0.145705,0.839442
0.32,0.858876,0.174192,0.810745
0.33,0.835871,0.204347,0.781277
0.34,0.812303,0.23582,0.751499
0.35,0.788449,0.268296,0.72179
0.36,0.764538,0.301503,0.692452
0.37,0.740753,0.33521,0.66372
0.38,0.717244,0.36921,0.635777
0.39,0.694131,0.403326,0.608757
0.4,0.671511,0.437397,0.582763
0.41,0.649462,0.471272,0.557869
0.42,0.628047,0.504811,0.53413
0.43,0.607319,0.537877,0.511585
0.44,0.587318,0.570336,0.490258
0.45,0.568078,0.602053,0.470168
0.46,0.549624,0.632893,0.451323
0.47,0.531976,0.662716,0.433728
0.48,0.515148,0.691383,0.417384
0.49,0.499148,0.718748,0.402293
0.5,0.483981,0.744664,0.388454
0.51,0.469645,0.768628,0.375919
0.52,0.456031,0.790848,0.364536
0.53,0.443082,0.811594,0.354197
0.54,0.43083,0.830393,0.344985
0.55,0.419222,0.847157,0.336856
0.56,0.408194,0.861832,0.329747
0.57,0.397673,0.8744,0.323586
0.58,0.387581,0.884871,0.318287
0.59,0.377843,0.893284,0.313751
0.6,0.368385,0.899699,0.309871
0.61,0.359138,0.904189,0.306532
0.62,0.350046,0.906834,0.303609
0.63,0.341063,0.907702,0.300977
0.64,0.332155,0.906844,0.298505
0.65,0.323303,0.904277,0.296064
0.66,0.314498,0.899976,0.293526
0.67,0.305739,0.893862,0.290765
0.68,0.297027,0.885794,0.287659
0.69,0.288367,0.875569,0.284087
0.7,0.279755,0.862911,0.279929
0.71,0.271182,0.847476,0.27507
0.72,0.262624,0.82885,0.269394
0.73,0.254048,0.806556,0.262795
0.74,0.245408,0.78006,0.255173
0.75,0.236648,0.748791,0.246449
0.76,0.227712,0.712168,0.236571
0.77,0.218548,0.669647,0.225534
0.78,0.209123,0.620799,0.213395
0.79,0.199436,0.565427,0.200298
0.8,0.189542,0.503741,0.186494
0.81,0.179564,0.436587,0.172359
0.82,0.169713,0.365709,0.158397
0.83,0.160291,0.29393,0.145203
0.84,0.151658,0.225058,0.133389
0.85,0.144177,0.16328,0.123458
0.86,0.138108,0.11204,0.115677
0.87,0.133528,0.0729259,0.110003
0.88,0.13031,0.0453356,0.106132
0.89,0.128187,0.0271512,0.10364
0.9,0.126857,0.0157916,0.102105
0.91,0.126057,0.00897566,0.101193
0.92,0.12559,0.00500684,0.100664
0.93,0.125324,0.0027483,0.100364
0.94,0.125176,0.00148667,0.100197
0.95,0.125094,0.000793013,0.100105
0.96,0.125049,0.000416891,0.100055
0.97,0.125026,0.00021501,0.100029
0.98,0.125014,0.000106228,0.100016
0.99,0.125009,4.40232e-05,0.10001
1,0.125009,0,0.10001
