x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,5.54854e-18,1
0.03,1,6.10992e-17,1
0.04,1,3.72145e-16,1
0.05,1,2.11661e-15,1
0.06,1,9.71214e-15,1
0.07,1,4.39073e-14,1
0.08,1,1.94126e-13,1
0.09,1,8.42549e-13,1
0.1,1,3.6092e-12,1
0.11,1,1.53918e-11,1
0.12,1,6.64206e-11,1
0.13,1,2.93156e-10,1
0.14,1,1.34099e-09,1
0.15,1,5.56259e-09,1
0.16,1,1.67573e-08,1
0.17,1,5.08901e-08,1
0.18,1,1.60546e-07,1
0.19,1,4.8727e-07,0.999999
0.2,0.999999,1.42411e-06,0.999998
0.21,0.999997,4.00604e-06,0.999995
0.22,0.999991,1.08358e-05,0.999987
0.23,0.999976,2.81532e-05,0.999967
0.24,0.999941,7.01818e-05,0.999917
0.25,0.999858,0.000167659,0.999802
0.26,0.999675,0.000383328,0.999546
0.27,0.99929,0.000837658,0.999009
0.28,0.998519,0.00174702,0.997934
0.29,0.997053,0.00347251,0.995896
0.3,0.994423,0.00656891,0.992247
0.31,0.989969,0.0118115,0.986092
0.32,0.982879,0.0201678,0.976344
0.33,0.972293,0.032685,0.961885
0.34,0.957491,0.0502934,0.941842
0.35,0.938101,0.073576,0.915871
0.36,0.914235,0.102605,0.884326
0.37,0.886473,0.13693,0.848202
0.38,0.855694,0.175728,0.808869
0.39,0.822866,0.218017,0.767754
0.4,0.788881,0.262835,0.726114
0.41,0.754476,0.309334,0.684936
0.42,0.720226,0.356802,0.644947
0.43,0.686568,0.404639,0.60665
0.44,0.65383,0.452329,0.570389
0.45,0.622256,0.499406,0.536385
0.46,0.592028,0.545435,0.504778
0.47,0.563278,0.589985,0.475646
0.48,0.536091,0.632627,0.449022
0.49,0.510502,0.672924,0.424894
0.5,0.486492,0.710375,0.403212
0.51,0.463956,0.744773,0.383808
0.52,0.442821,0.775908,0.36654
0.53,0.423061,0.803269,0.35136
0.54,0.40459,0.826472,0.338146
0.55,0.387288,0.845213,0.326723
0.56,0.371005,0.859274,0.316872
0.57,0.35558,0.868514,0.308324
0.58,0.340852,0.872855,0.300778
0.59,0.32667,0.872249,0.293899
0.6,0.312902,0.866646,0.287337
0.61,0.299441,0.855946,0.280734
0.62,0.286208,0.839962,0.273746
0.63,0.273145,0.818388,0.266052
0.64,0.260215,0.790786,0.257373
0.65,0.247392,0.756594,0.247484
0.66,0.234657,0.715175,0.236237
0.67,0.222004,0.665908,0.223576
0.68,0.209438,0.608341,0.209574
0.69,0.197004,0.542435,0.194457
0.7,0.184802,0.468907,0.178646
0.71,0.173022,0.389656,0.162765
0.72,0.161959,0.308163,0.147615
0.73,0.152008,0.229523,0.134066
0.74,0.143585,0.159619,0.12286
0.75,0.136988,0.103295,0.114376
0.76,0.132259,0.0624402,0.108514
0.77,0.129154,0.0356001,0.10479
0.78,0.127269,0.019367,0.102586
0.79,0.126193,0.0101534,0.10135
0.8,0.125608,0.00516558,0.100685
0.81,0.125302,0.00256107,0.100339
0.82,0.125146,0.0012403,0.100164
0.83,0.125069,0.000587403,0.100078
0.84,0.125032,0.000272186,0.100036
0.85,0.125015,0.000123421,0.100016
0.86,0.125006,5.47656e-05,0.100007
0.87,0.125003,2.37791e-05,0.100003
0.88,0.125001,1.01024e-05,0.100001
0.89,0.125,4.19936e-06,0.100001
0.9,0.125,1.70798e-06,0.1
0.91,0.125,6.79095e-07,0.1
0.92,0.125,2.62809e-07,0.1
0.93,0.125,9.36652e-08,0.1
0.94,0.125,3.45909e-08,0.1
0.95,0.125,1.40119e-08,0.1
0.96,0.125,5.2036e-09,0.1
0.97,0.125,1.82756e-09,0.1
0.98,0.125,6.2325e-10,0.1
0.99,0.125,1.91986e-10,0.1
1,0.125,0,0.1
