x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,1.12987e-17,1
0.1,1,9.04902e-17,1
0.11,1,6.73049e-16,1
0.12,1,4.09588e-15,1
0.13,1,2.27845e-14,1
0.14,1,1.23256e-13,1
0.15,1,6.49042e-13,1
0.16,1,3.36058e-12,1
0.17,1,1.71801e-11,1
0.18,1,8.69287e-11,1
0.19,1,4.54173e-10,1
0.2,1,2.35282e-09,1
0.21,1,9.30333e-09,1
0.22,1,3.19116e-08,1
0.23,1,1.16292e-07,1
0.24,1,4.06984e-07,1
0.25,0.999999,1.36149e-06,0.999998
0.26,0.999996,4.34603e-06,0.999995
0.27,0.999989,1.32202e-05,0.999984
0.28,0.999968,3.82651e-05,0.999955
0.29,0.999911,0.000105215,0.999875
0.3,0.999767,0.000274339,0.999675
0.31,0.999424,0.000677035,0.999199
0.32,0.998655,0.0015782,0.998133
0.33,0.997041,0.00346759,0.9959
0.34,0.993874,0.00716616,0.99154
0.35,0.988101,0.0139021,0.983633
0.36,0.978357,0.0252753,0.970392
0.37,0.963202,0.043025,0.950006
0.38,0.941542,0.0685881,0.921253
0.39,0.913087,0.102597,0.884103
0.4,0.878551,0.14461,0.839919
0.41,0.839418,0.19327,0.791035
0.42,0.797442,0.246796,0.739995
0.43,0.754215,0.303439,0.688961
0.44,0.710978,0.361708,0.639493
0.45,0.668632,0.420388,0.592612
0.46,0.627806,0.478472,0.548935
0.47,0.58893,0.53508,0.508804
0.48,0.552296,0.589404,0.472391
0.49,0.518098,0.640651,0.439763
0.5,0.486458,0.686329,0.411159
0.51,0.456955,0.727124,0.385827
0.52,0.429402,0.764088,0.363228
0.53,0.404048,0.794611,0.34373
0.54,0.380677,0.817995,0.32699
0.55,0.35903,0.833674,0.312584
0.56,0.338833,0.841212,0.30002
0.57,0.319817,0.840291,0.288745
0.58,0.301732,0.830668,0.278168
0.59,0.284369,0.812122,0.267691
0.6,0.26757,0.784386,0.256748
0.61,0.25123,0.747106,0.24486
0.62,0.235299,0.699861,0.23168
0.63,0.219775,0.642273,0.217049
0.64,0.204708,0.574268,0.201042
0.65,0.190209,0.496507,0.184021
0.66,0.176473,0.410993,0.166659
0.67,0.163801,0.321722,0.149915
0.68,0.152604,0.234933,0.134902
0.69,0.143326,0.158158,0.122608
0.7,0.136275,0.0976486,0.113542
0.71,0.131434,0.0555526,0.107545
0.72,0.128434,0.029486,0.103955
0.73,0.126734,0.0148115,0.101973
0.74,0.125837,0.00712219,0.100945
0.75,0.125389,0.00330259,0.100438
0.76,0.125175,0.00148285,0.100196
0.77,0.125076,0.00064599,0.100085
0.78,0.125032,0.0002733,0.100036
0.79,0.125013,0.000112328,0.100015
0.8,0.125005,4.48562e-05,0.100006
0.81,0.125002,1.74038e-05,0.100002
0.82,0.125001,6.56065e-06,0.100001
0.83,0.125,2.40287e-06,0.1
0.84,0.125,8.55292e-07,0.1
0.85,0.125,2.94835e-07,0.1
0.86,0.125,9.29462e-08,0.1
0.87,0.125,3.01716e-08,0.1
0.88,0.125,1.08038e-08,0.1
0.89,0.125,3.47826e-09,0.1
0.9,0.125,1.05182e-09,0.1
0.91,0.125,3.08312e-10,0.1
0.92,0.125,8.77103e-11,0.1
0.93,0.125,2.4244e-11,0.1
0.94,0.125,6.51375e-12,0.1
0.95,0.125,1.70158e-12,0.1
0.96,0.125,4.32244e-13,0.1
0.97,0.125,1.06713e-13,0.1
0.98,0.125,2.55904e-14,0.1
0.99,0.125,5.74091e-15,0.1
1,0.125,0,0.1
