x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,0,1
0.14,1,0,1
0.15,1,0,1
0.16,1,0,1
0.17,1,0,1
0.18,1,5.26007e-17,1
0.19,1,4.61817e-16,1
0.2,1,4.05794e-15,1
0.21,1,3.20641e-14,1
0.22,1,2.45248e-13,1
0.23,1,1.79696e-12,1
0.24,1,1.25717e-11,1
0.25,1,8.66769e-11,1
0.26,1,5.92157e-10,1
0.27,1,3.64406e-09,1
0.28,1,1.70819e-08,1
0.29,1,7.75063e-08,1
0.3,1,3.48861e-07,1
0.31,0.999999,1.47301e-06,0.999998
0.32,0.999995,5.83059e-06,0.999993
0.33,0.999981,2.15909e-05,0.999974
0.34,0.999936,7.46059e-05,0.999912
0.35,0.999792,0.000239877,0.999716
0.36,0.999379,0.000715392,0.999152
0.37,0.998282,0.00197217,0.997661
0.38,0.995618,0.00500719,0.994064
0.39,0.989743,0.0116646,0.986196
0.4,0.978068,0.024844,0.970734
0.41,0.957354,0.0482338,0.943707
0.42,0.924841,0.085221,0.902114
0.43,0.879914,0.13718,0.84607
0.44,0.82496,0.202334,0.779627
0.45,0.764298,0.276467,0.708935
0.46,0.702141,0.3549,0.639403
0.47,0.641477,0.433786,0.574416
0.48,0.584107,0.510175,0.515654
0.49,0.531021,0.581661,0.46376
0.5,0.482713,0.644042,0.419082
0.51,0.438812,0.696673,0.380617
0.52,0.399021,0.739556,0.347421
0.53,0.363441,0.768352,0.319468
0.54,0.331548,0.781247,0.295762
0.55,0.302777,0.776826,0.275168
0.56,0.276577,0.75419,0.256458
0.57,0.252478,0.713008,0.238435
0.58,0.230151,0.653546,0.22011
0.59,0.209441,0.576844,0.200914
0.6,0.190387,0.485224,0.180896
0.61,0.17322,0.383254,0.160828
0.62,0.158338,0.278833,0.14212
0.63,0.14623,0.183067,0.126417
0.64,0.13727,0.106969,0.114879
0.65,0.131407,0.0557137,0.107561
0.66,0.128048,0.0262992,0.10352
0.67,0.126342,0.0114897,0.101528
0.68,0.125554,0.00472128,0.100626
0.69,0.125217,0.00184188,0.100244
0.7,0.125081,0.000685337,0.100091
0.71,0.125029,0.000243702,0.100032
0.72,0.12501,8.2885e-05,0.100011
0.73,0.125003,2.69706e-05,0.100004
0.74,0.125001,8.39795e-06,0.100001
0.75,0.125,2.50298e-06,0.1
0.76,0.125,7.13791e-07,0.1
0.77,0.125,1.90977e-07,0.1
0.78,0.125,4.69178e-08,0.1
0.79,0.125,1.33109e-08,0.1
0.8,0.125,3.49758e-09,0.1
0.81,0.125,8.10439e-10,0.1
0.82,0.125,1.79453e-10,0.1
0.83,0.125,3.79951e-11,0.1
0.84,0.125,7.69894e-12,0.1
0.85,0.125,1.49399e-12,0.1
0.86,0.125,2.77691e-13,0.1
0.87,0.125,4.93832e-14,0.1
0.88,0.125,8.40473e-15,0.1
0.89,0.125,1.32061e-15,0.1
0.9,0.125,1.86902e-16,0.1
0.91,0.125,1.16735e-17,0.1
0.92,0.125,0,0.1
0.93,0.125,0,0.1
0.94,0.125,0,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,0,0.1
0.99,0.125,0,0.1
1,0.125,0,0.1
