x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,0,1
0.14,1,0,1
0.15,1,0,1
0.16,1,0,1
0.17,1,0,1
0.18,1,0,1
0.19,1,0,1
0.2,1,0,1
0.21,1,0,1
0.22,1,6.00503e-18,1
0.23,1,7.81637e-17,1
0.24,1,9.62462e-16,1
0.25,1,1.02163e-14,1
0.26,1,1.01847e-13,1
0.27,1,9.67957e-13,1
0.28,1,9.017e-12,1
0.29,1,8.22178e-11,1
0.3,1,6.68789e-10,1
0.31,1,5.11471e-09,1
0.32,1,2.90045e-08,1
0.33,1,1.64408e-07,1
0.34,0.999999,8.72557e-07,0.999999
0.35,0.999996,4.27084e-06,0.999995
0.36,0.999983,1.92181e-05,0.999977
0.37,0.999929,7.92304e-05,0.999905
0.38,0.999732,0.000298075,0.999644
0.39,0.99908,0.00101867,0.998782
0.4,0.997141,0.0031464,0.996232
0.41,0.991999,0.00873632,0.989534
0.42,0.979988,0.0216875,0.974076
0.43,0.955601,0.0478883,0.943213
0.44,0.913295,0.093657,0.890852
0.45,0.851479,0.16197,0.816551
0.46,0.775341,0.248946,0.728405
0.47,0.694008,0.34532,0.638407
0.48,0.61492,0.441916,0.555153
0.49,0.541986,0.532179,0.48226
0.5,0.476783,0.609163,0.420738
0.51,0.419142,0.669951,0.369294
0.52,0.368576,0.712587,0.326344
0.53,0.324876,0.730674,0.291087
0.54,0.287085,0.721049,0.261589
0.55,0.254228,0.682054,0.235787
0.56,0.225467,0.614184,0.211781
0.57,0.200251,0.520726,0.188306
0.58,0.178414,0.408645,0.165227
0.59,0.160169,0.289743,0.143745
0.6,0.145957,0.180473,0.125924
0.61,0.136068,0.0968161,0.113379
0.62,0.13015,0.0448908,0.106056
0.63,0.127137,0.0184443,0.102459
0.64,0.125807,0.00690301,0.100916
0.65,0.125282,0.00239638,0.100317
0.66,0.125092,0.000778562,0.100103
0.67,0.125028,0.00023761,0.100031
0.68,0.125008,6.82148e-05,0.100009
0.69,0.125002,1.84314e-05,0.100002
0.7,0.125001,4.68856e-06,0.100001
0.71,0.125,1.12352e-06,0.1
0.72,0.125,2.50025e-07,0.1
0.73,0.125,5.00772e-08,0.1
0.74,0.125,1.14336e-08,0.1
0.75,0.125,2.39844e-09,0.1
0.76,0.125,4.28785e-10,0.1
0.77,0.125,7.21017e-11,0.1
0.78,0.125,1.14075e-11,0.1
0.79,0.125,1.69703e-12,0.1
0.8,0.125,2.37201e-13,0.1
0.81,0.125,3.10962e-14,0.1
0.82,0.125,3.78805e-15,0.1
0.83,0.125,4.44837e-16,0.1
0.84,0.125,3.00444e-17,0.1
0.85,0.125,0,0.1
0.86,0.125,0,0.1
0.87,0.125,0,0.1
0.88,0.125,0,0.1
0.89,0.125,0,0.1
0.9,0.125,0,0.1
0.91,0.125,0,0.1
0.92,0.125,0,0.1
0.93,0.125,0,0.1
0.94,0.125,0,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,0,0.1
0.99,0.125,0,0.1
1,0.125,0,0.1
