x,rho,u,p
0,1,0,1
0.01,1,3.11692e-08,1
0.02,1,1.06244e-07,1
0.03,1,2.70453e-07,1
0.04,0.999999,6.43861e-07,0.999999
0.05,0.999999,1.48396e-06,0.999998
0.06,0.999997,3.33129e-06,0.999996
0.07,0.999994,7.28975e-06,0.999991
0.08,0.999987,1.55462e-05,0.999982
0.09,0.999973,3.22964e-05,0.999962
0.1,0.999945,6.53244e-05,0.999923
0.11,0.999891,0.000128573,0.999848
0.12,0.999792,0.000246113,0.999709
0.13,0.999613,0.000457897,0.999458
0.14,0.9993,0.000827548,0.999021
0.15,0.998772,0.00145194,0.998283
0.16,0.99791,0.00247159,0.997079
0.17,0.996551,0.00407983,0.995181
0.18,0.994483,0.00652745,0.992299
0.19,0.991452,0.0101188,0.988083
0.2,0.987175,0.0151962,0.982146
0.21,0.981366,0.0221105,0.97411
0.22,0.973776,0.0311819,0.963648
0.23,0.964227,0.0426576,0.950549
0.24,0.952644,0.0566772,0.934749
0.25,0.939066,0.0732561,0.91635
0.26,0.923639,0.0922907,0.895603
0.27,0.90659,0.113583,0.872868
0.28,0.888191,0.136873,0.848561
0.29,0.868727,0.161878,0.823107
0.3,0.848474,0.188312,0.796906
0.31,0.827679,0.215911,0.770311
0.32,0.806559,0.244435,0.743622
0.33,0.785295,0.273674,0.717086
0.34,0.764038,0.303446,0.690901
0.35,0.742913,0.333592,0.665224
0.36,0.722021,0.363972,0.640179
0.37,0.701445,0.394462,0.615859
0.38,0.681255,0.42495,0.592339
0.39,0.661505,0.455332,0.569673
0.4,0.642245,0.485508,0.547905
0.41,0.623513,0.515384,0.527064
0.42,0.605342,0.544864,0.507175
0.43,0.587761,0.573855,0.488255
0.44,0.570794,0.602259,0.470317
0.45,0.55446,0.629976,0.453369
0.46,0.538776,0.656905,0.437418
0.47,0.523755,0.682937,0.422469
0.48,0.509404,0.707962,0.408524
0.49,0.495725,0.731869,0.395581
0.5,0.482709,0.75455,0.383634
0.51,0.470339,0.775916,0.372666
0.52,0.458582,0.795879,0.362652
0.53,0.447409,0.814384,0.353562
0.54,0.43679,0.831375,0.345375
0.55,0.426692,0.846768,0.338068
0.56,0.417069,0.860524,0.331606
0.57,0.407872,0.872627,0.325947
0.58,0.39904,0.883084,0.321037
0.59,0.390515,0.891926,0.316813
0.6,0.382234,0.899205,0.313206
0.61,0.374141,0.90499,0.310139
0.62,0.366181,0.909358,0.30753
0.63,0.35831,0.912392,0.305292
0.64,0.350494,0.914168,0.303338
0.65,0.342709,0.914754,0.301579
0.66,0.334942,0.914195,0.299924
0.67,0.32719,0.912513,0.298288
0.68,0.31946,0.909696,0.296584
0.69,0.31176,0.905694,0.294729
0.7,0.304107,0.900417,0.292637
0.71,0.29651,0.893727,0.290228
0.72,0.288978,0.885442,0.287415
0.73,0.281511,0.875328,0.284112
0.74,0.274099,0.8631,0.280232
0.75,0.266719,0.848421,0.275681
0.76,0.259337,0.830905,0.270368
0.77,0.251907,0.810111,0.264201
0.78,0.244372,0.785557,0.257093
0.79,0.236667,0.756724,0.248969
0.8,0.228728,0.723081,0.239777
0.81,0.220496,0.684109,0.229497
0.82,0.211928,0.639367,0.218159
0.83,0.203011,0.588569,0.205858
0.84,0.193776,0.531717,0.192781
0.85,0.184314,0.46928,0.179217
0.86,0.174793,0.402412,0.165567
0.87,0.165462,0.333162,0.152336
0.88,0.156643,0.264541,0.140084
0.89,0.148692,0.200265,0.129341
0.9,0.141924,0.144012,0.120491
0.91,0.136529,0.0983808,0.113673
0.92,0.132513,0.0641179,0.108757
0.93,0.129712,0.0401519,0.105419
0.94,0.127863,0.0243509,0.103262
0.95,0.126698,0.0143972,0.101922
0.96,0.12599,0.00832727,0.101116
0.97,0.125574,0.0046933,0.100645
0.98,0.125343,0.00250425,0.100385
0.99,0.125236,0.0010944,0.100265
1,0.125236,0,0.100265
