x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,1.11204e-17,1
0.04,1,6.67811e-17,1
0.05,1,4.61934e-16,1
0.06,1,2.53272e-15,1
0.07,1,1.18246e-14,1
0.08,1,5.44672e-14,1
0.09,1,2.4502e-13,1
0.1,1,1.08108e-12,1
0.11,1,4.73049e-12,1
0.12,1,2.07701e-11,1
0.13,1,9.19087e-11,1
0.14,1,4.10748e-10,1
0.15,1,1.95455e-09,1
0.16,1,7.38772e-09,1
0.17,1,2.21581e-08,1
0.18,1,7.04628e-08,1
0.19,1,2.23173e-07,1
0.2,0.999999,6.80352e-07,0.999999
0.21,0.999998,1.99512e-06,0.999998
0.22,0.999995,5.62385e-06,0.999993
0.23,0.999987,1.52225e-05,0.999982
0.24,0.999967,3.9522e-05,0.999953
0.25,0.999917,9.83022e-05,0.999884
0.26,0.999802,0.000233935,0.999723
0.27,0.999549,0.000531908,0.999371
0.28,0.999022,0.00115386,0.998635
0.29,0.997977,0.0023845,0.997181
0.3,0.99602,0.0046872,0.994463
0.31,0.992564,0.00875151,0.989681
0.32,0.986827,0.0155016,0.981776
0.33,0.977899,0.0260276,0.96955
0.34,0.964905,0.0414165,0.951898
0.35,0.947233,0.0625073,0.928132
0.36,0.924742,0.089657,0.898265
0.37,0.897831,0.122636,0.863066
0.38,0.867327,0.160713,0.823867
0.39,0.834257,0.202878,0.782213
0.4,0.799627,0.248068,0.739548
0.41,0.764301,0.295317,0.697047
0.42,0.72896,0.343802,0.655585
0.43,0.694121,0.392837,0.615776
0.44,0.660169,0.44184,0.578033
0.45,0.627392,0.490294,0.542624
0.46,0.596001,0.537719,0.509716
0.47,0.56615,0.583648,0.479407
0.48,0.537939,0.627612,0.451738
0.49,0.511419,0.669138,0.426705
0.5,0.486576,0.707536,0.404282
0.51,0.46327,0.742705,0.384235
0.52,0.441414,0.774563,0.366383
0.53,0.421013,0.802402,0.350722
0.54,0.401972,0.8258,0.337113
0.55,0.38416,0.844429,0.325363
0.56,0.367414,0.858048,0.315225
0.57,0.351563,0.866501,0.306407
0.58,0.336433,0.869693,0.298574
0.59,0.321866,0.867562,0.291363
0.6,0.307725,0.860032,0.284396
0.61,0.293901,0.846971,0.277293
0.62,0.280313,0.828149,0.269691
0.63,0.266904,0.803209,0.261262
0.64,0.25364,0.771659,0.251732
0.65,0.240498,0.732902,0.240896
0.66,0.227467,0.686306,0.228645
0.67,0.214552,0.631339,0.21499
0.68,0.201783,0.567783,0.200095
0.69,0.189242,0.496056,0.184313
0.7,0.177086,0.417638,0.16821
0.71,0.165579,0.335521,0.152555
0.72,0.155087,0.254434,0.138239
0.73,0.146036,0.180333,0.126097
0.74,0.138782,0.118789,0.116661
0.75,0.133455,0.0728349,0.109982
0.76,0.129884,0.0419212,0.105658
0.77,0.127681,0.0229171,0.103065
0.78,0.126412,0.0120298,0.1016
0.79,0.125719,0.00611232,0.100811
0.8,0.125356,0.00302118,0.1004
0.81,0.125172,0.00145677,0.100193
0.82,0.125081,0.000686218,0.100091
0.83,0.125037,0.000315988,0.100042
0.84,0.125017,0.000142272,0.100019
0.85,0.125007,6.26354e-05,0.100008
0.86,0.125003,2.69623e-05,0.100004
0.87,0.125001,1.13475e-05,0.100002
0.88,0.125001,4.66895e-06,0.100001
0.89,0.125,1.87824e-06,0.1
0.9,0.125,7.39031e-07,0.1
0.91,0.125,2.82524e-07,0.1
0.92,0.125,9.9322e-08,0.1
0.93,0.125,3.60921e-08,0.1
0.94,0.125,1.4419e-08,0.1
0.95,0.125,5.29277e-09,0.1
0.96,0.125,1.82901e-09,0.1
0.97,0.125,6.17333e-10,0.1
0.98,0.125,2.02351e-10,0.1
0.99,0.125,6.02857e-11,0.1
1,0.125,0,0.1
