x,rho,u,p
0,1,0,1
0.01,1,8.57707e-09,1
0.02,1,2.48688e-08,1
0.03,1,6.59385e-08,1
0.04,1,1.65339e-07,1
0.05,1,4.02637e-07,1
0.06,0.999999,9.55403e-07,0.999999
0.07,0.999998,2.20963e-06,0.999997
0.08,0.999996,4.97949e-06,0.999994
0.09,0.999991,1.0929e-05,0.999987
0.1,0.99998,2.33497e-05,0.999972
0.11,0.999959,4.85343e-05,0.999943
0.12,0.999917,9.80915e-05,0.999884
0.13,0.999837,0.00019265,0.999772
0.14,0.999689,0.000367445,0.999565
0.15,0.999425,0.000680174,0.999195
0.16,0.998967,0.00122116,0.998556
0.17,0.998203,0.00212505,0.997488
0.18,0.996971,0.00358218,0.995768
0.19,0.995058,0.00584617,0.993101
0.2,0.992198,0.00923326,0.989121
0.21,0.988087,0.0141088,0.983415
0.22,0.982412,0.0208583,0.97556
0.23,0.974885,0.0298444,0.965183
0.24,0.965291,0.0413585,0.952022
0.25,0.953528,0.0555774,0.935976
0.26,0.939618,0.0725394,0.917132
0.27,0.92371,0.0921464,0.89575
0.28,0.906046,0.114189,0.872216
0.29,0.886924,0.138384,0.846989
0.3,0.86666,0.164419,0.820538
0.31,0.845557,0.191978,0.793305
0.32,0.82389,0.220768,0.76568
0.33,0.801895,0.250526,0.737993
0.34,0.77977,0.28102,0.71051
0.35,0.75768,0.31205,0.683444
0.36,0.735758,0.343444,0.656964
0.37,0.714113,0.375047,0.631199
0.38,0.692833,0.406725,0.606247
0.39,0.671992,0.438352,0.582185
0.4,0.651648,0.469815,0.559069
0.41,0.631851,0.501002,0.53694
0.42,0.612642,0.531807,0.515829
0.43,0.594055,0.562123,0.49576
0.44,0.576119,0.591843,0.476747
0.45,0.558858,0.620858,0.4588
0.46,0.542289,0.649054,0.441929
0.47,0.526428,0.676315,0.426137
0.48,0.511285,0.702519,0.411427
0.49,0.496865,0.727542,0.397801
0.5,0.483163,0.75126,0.385253
0.51,0.470163,0.773469,0.373785
0.52,0.457809,0.79418,0.36333
0.53,0.446062,0.813421,0.353839
0.54,0.434912,0.831012,0.345319
0.55,0.424321,0.846877,0.337743
0.56,0.414239,0.860969,0.331069
0.57,0.404608,0.87327,0.325246
0.58,0.395365,0.883787,0.320212
0.59,0.386443,0.892557,0.315893
0.6,0.377777,0.899635,0.312209
0.61,0.369306,0.905091,0.309071
0.62,0.360975,0.909007,0.306385
0.63,0.35274,0.911463,0.304053
0.64,0.344566,0.912532,0.301973
0.65,0.336431,0.912269,0.300044
0.66,0.328324,0.910705,0.298167
0.67,0.320245,0.907834,0.296241
0.68,0.312198,0.903611,0.29417
0.69,0.304193,0.897945,0.291857
0.7,0.296242,0.890694,0.289208
0.71,0.288349,0.881664,0.286128
0.72,0.280514,0.870602,0.282519
0.73,0.272726,0.8572,0.278285
0.74,0.264962,0.841093,0.273327
0.75,0.257188,0.821859,0.267547
0.76,0.249354,0.799024,0.260851
0.77,0.241405,0.772073,0.253153
0.78,0.233276,0.740459,0.244386
0.79,0.224908,0.703637,0.234511
0.8,0.216247,0.661108,0.223533
0.81,0.207265,0.612491,0.211516
0.82,0.19797,0.557638,0.19861
0.83,0.188423,0.4968,0.185062
0.84,0.178757,0.430839,0.171239
0.85,0.16919,0.361463,0.157621
0.86,0.160019,0.291382,0.144769
0.87,0.151599,0.224202,0.133257
0.88,0.144278,0.16385,0.123553
0.89,0.138306,0.113554,0.115904
0.9,0.133762,0.0748374,0.110276
0.91,0.130533,0.0472065,0.106392
0.92,0.128374,0.0287337,0.103855
0.93,0.127001,0.0170072,0.102269
0.94,0.12616,0.00984784,0.101309
0.95,0.125661,0.00560035,0.100744
0.96,0.125372,0.00313165,0.100418
0.97,0.125208,0.00171343,0.100234
0.98,0.12512,0.000892049,0.100135
0.99,0.12508,0.000383508,0.10009
1,0.12508,0,0.10009
