x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,1.67144e-17,1
0.05,1,1.05952e-16,1
0.06,1,7.08186e-16,1
0.07,1,3.61428e-15,1
0.08,1,1.7376e-14,1
0.09,1,8.11177e-14,1
0.1,1,3.68899e-13,1
0.11,1,1.64986e-12,1
0.12,1,7.33003e-12,1
0.13,1,3.26972e-11,1
0.14,1,1.49965e-10,1
0.15,1,7.18355e-10,1
0.16,1,3.22149e-09,1
0.17,1,1.09641e-08,1
0.18,1,3.35086e-08,1
0.19,1,1.09929e-07,1
0.2,1,3.47695e-07,1
0.21,0.999999,1.05825e-06,0.999999
0.22,0.999997,3.09515e-06,0.999996
0.23,0.999993,8.69024e-06,0.99999
0.24,0.99998,2.33969e-05,0.999972
0.25,0.999949,6.03303e-05,0.999929
0.26,0.999874,0.000148798,0.999824
0.27,0.999703,0.000350543,0.999585
0.28,0.999332,0.000787635,0.999068
0.29,0.99857,0.0016853,0.998007
0.3,0.997088,0.00342859,0.995948
0.31,0.994372,0.00662166,0.992184
0.32,0.98969,0.0121233,0.985725
0.33,0.98213,0.0210184,0.975351
0.34,0.970721,0.0344867,0.95981
0.35,0.954658,0.0535669,0.938138
0.36,0.933559,0.0788802,0.91001
0.37,0.907614,0.110439,0.875925
0.38,0.87755,0.147654,0.837106
0.39,0.844412,0.189528,0.79516
0.4,0.809302,0.234923,0.75169
0.41,0.773204,0.282759,0.708055
0.42,0.736904,0.332109,0.665285
0.43,0.701005,0.382196,0.624107
0.44,0.665954,0.432371,0.585011
0.45,0.632078,0.482063,0.548312
0.46,0.599622,0.53075,0.514209
0.47,0.568761,0.577929,0.482815
0.48,0.539612,0.623095,0.454184
0.49,0.512237,0.665738,0.428318
0.5,0.486633,0.70499,0.405214
0.51,0.462623,0.740844,0.384578
0.52,0.440111,0.773345,0.366191
0.53,0.419128,0.801592,0.350089
0.54,0.399573,0.825132,0.33612
0.55,0.381302,0.843609,0.32407
0.56,0.364141,0.856763,0.313669
0.57,0.347906,0.864424,0.304596
0.58,0.332416,0.866481,0.29649
0.59,0.317504,0.862854,0.288961
0.6,0.303029,0.853446,0.281603
0.61,0.288881,0.838094,0.274019
0.62,0.274977,0.816527,0.265831
0.63,0.261265,0.788345,0.25671
0.64,0.247711,0.753016,0.24639
0.65,0.234299,0.709929,0.234694
0.66,0.221026,0.658493,0.22156
0.67,0.207913,0.598321,0.207071
0.68,0.195019,0.52951,0.191492
0.69,0.182468,0.45304,0.175301
0.7,0.170475,0.371254,0.1592
0.71,0.15937,0.288245,0.144064
0.72,0.149566,0.209728,0.130804
0.73,0.14147,0.141855,0.120128
0.74,0.135323,0.0890392,0.112302
0.75,0.131067,0.0521788,0.107078
0.76,0.128371,0.0288711,0.103872
0.77,0.126789,0.0152635,0.102034
0.78,0.125915,0.00778319,0.101033
0.79,0.125454,0.00385176,0.10051
0.8,0.125219,0.00185658,0.100246
0.81,0.125103,0.000873239,0.100116
0.82,0.125047,0.000401144,0.100053
0.83,0.125021,0.00018004,0.100024
0.84,0.125009,7.89542e-05,0.10001
0.85,0.125004,3.3831e-05,0.100004
0.86,0.125002,1.41632e-05,0.100002
0.87,0.125001,5.79279e-06,0.100001
0.88,0.125,2.31453e-06,0.1
0.89,0.125,9.03198e-07,0.1
0.9,0.125,3.45803e-07,0.1
0.91,0.125,1.20598e-07,0.1
0.92,0.125,4.2414e-08,0.1
0.93,0.125,1.68418e-08,0.1
0.94,0.125,6.17908e-09,0.1
0.95,0.125,2.11303e-09,0.1
0.96,0.125,7.05541e-10,0.1
0.97,0.125,2.2962e-10,0.1
0.98,0.125,7.26318e-11,0.1
0.99,0.125,2.09785e-11,0.1
1,0.125,0,0.1
