x,rho,u,p
0,1,0,1
0.01,1,8.02647e-10,1
0.02,1,3.39085e-09,1
0.03,1,9.5221e-09,1
0.04,1,2.25793e-08,1
0.05,1,5.71567e-08,1
0.06,1,1.46961e-07,1
0.07,1,3.68177e-07,1
0.08,0.999999,8.97967e-07,0.999999
0.09,0.999998,2.1322e-06,0.999997
0.1,0.999996,4.92675e-06,0.999994
0.11,0.999991,1.10719e-05,0.999987
0.12,0.99998,2.4186e-05,0.999971
0.13,0.999957,5.13248e-05,0.999939
0.14,0.999911,0.000105738,0.999875
0.15,0.999821,0.000211346,0.99975
0.16,0.999654,0.000409553,0.999515
0.17,0.99935,0.000768905,0.99909
0.18,0.998818,0.00139756,0.998347
0.19,0.997922,0.00245748,0.997095
0.2,0.996467,0.00417779,0.995066
0.21,0.994197,0.00686248,0.991905
0.22,0.990799,0.0108868,0.987182
0.23,0.98592,0.0166762,0.98042
0.24,0.979207,0.0246666,0.971149
0.25,0.970357,0.0352481,0.958984
0.26,0.959172,0.0487067,0.943695
0.27,0.945595,0.0651782,0.925262
0.28,0.929723,0.0846316,0.903883
0.29,0.911785,0.106885,0.879939
0.3,0.892102,0.131645,0.853929
0.31,0.871032,0.158562,0.826397
0.32,0.848936,0.187268,0.797868
0.33,0.826139,0.217415,0.768812
0.34,0.80293,0.248686,0.739628
0.35,0.779546,0.280806,0.71064
0.36,0.756183,0.313535,0.682105
0.37,0.733003,0.346665,0.654222
0.38,0.710132,0.380017,0.627144
0.39,0.687675,0.413429,0.600986
0.4,0.665716,0.446755,0.575834
0.41,0.644324,0.479858,0.551753
0.42,0.623554,0.512608,0.528787
0.43,0.603453,0.544879,0.506971
0.44,0.584057,0.576544,0.486325
0.45,0.565397,0.607478,0.466865
0.46,0.547495,0.637552,0.4486
0.47,0.53037,0.666633,0.431534
0.48,0.514035,0.694586,0.415669
0.49,0.498497,0.721272,0.401007
0.5,0.48376,0.746548,0.387548
0.51,0.469816,0.770001,0.375327
0.52,0.456569,0.791784,0.364216
0.53,0.443969,0.812097,0.354124
0.54,0.432035,0.830555,0.345112
0.55,0.42072,0.847072,0.337141
0.56,0.409965,0.861596,0.330158
0.57,0.3997,0.874107,0.324095
0.58,0.389854,0.884618,0.318875
0.59,0.380351,0.893165,0.314405
0.6,0.371122,0.899808,0.310588
0.61,0.362099,0.904621,0.307316
0.62,0.353226,0.907683,0.304474
0.63,0.344458,0.909069,0.301944
0.64,0.335762,0.908837,0.299605
0.65,0.327117,0.907019,0.297336
0.66,0.318513,0.903607,0.295018
0.67,0.309951,0.898548,0.292533
0.68,0.301434,0.891732,0.289766
0.69,0.292968,0.882991,0.286602
0.7,0.284555,0.872093,0.28293
0.71,0.276188,0.858739,0.278638
0.72,0.267853,0.842564,0.273615
0.73,0.259522,0.82314,0.267754
0.74,0.251154,0.799978,0.260952
0.75,0.242698,0.772541,0.253118
0.76,0.234096,0.740262,0.24418
0.77,0.225289,0.702572,0.234097
0.78,0.216227,0.658954,0.222876
0.79,0.206884,0.609025,0.21059
0.8,0.19727,0.55266,0.197403
0.81,0.187451,0.490175,0.183585
0.82,0.177569,0.422562,0.169534
0.83,0.167853,0.351733,0.155763
0.84,0.158615,0.280669,0.14287
0.85,0.150223,0.213243,0.131444
0.86,0.143022,0.153525,0.121947
0.87,0.137244,0.10464,0.114587
0.88,0.132929,0.0677676,0.109271
0.89,0.129922,0.0420047,0.105673
0.9,0.127951,0.025132,0.103366
0.91,0.126721,0.014627,0.101949
0.92,0.125981,0.00832961,0.101106
0.93,0.125549,0.00465953,0.100618
0.94,0.125303,0.00256652,0.10034
0.95,0.125165,0.0013936,0.100185
0.96,0.125088,0.000745713,0.100099
0.97,0.125047,0.000391326,0.100053
0.98,0.125026,0.000196391,0.100029
0.99,0.125016,8.23043e-05,0.100018
1,0.125016,0,0.100018
