x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,0,1
0.14,1,0,1
0.15,1,0,1
0.16,1,0,1
0.17,1,0,1
0.18,1,0,1
0.19,1,0,1
0.2,1,0,1
0.21,1,0,1
0.22,1,0,1
0.23,1,0,1
0.24,1,0,1
0.25,1,0,1
0.26,1,6.19167e-18,1
0.27,1,9.92162e-17,1
0.28,1,1.69304e-15,1
0.29,1,2.51472e-14,1
0.3,1,3.27145e-13,1
0.31,1,3.94956e-12,1
0.32,1,4.7208e-11,1
0.33,1,5.055e-10,1
0.34,1,4.91938e-09,1
0.35,1,3.61851e-08,1
0.36,1,2.57097e-07,1
0.37,0.999998,1.66031e-06,0.999998
0.38,0.999991,9.64899e-06,0.999988
0.39,0.999952,5.02491e-05,0.999938
0.4,0.999774,0.000233318,0.999714
0.41,0.999068,0.000960146,0.998819
0.42,0.996599,0.00347783,0.995712
0.43,0.98913,0.0110062,0.986397
0.44,0.969895,0.0302066,0.962726
0.45,0.928675,0.071381,0.912929
0.46,0.857332,0.144207,0.828901
0.47,0.759975,0.248014,0.718207
0.48,0.653842,0.366618,0.603167
0.49,0.55456,0.480085,0.501516
0.5,0.468075,0.573495,0.418352
0.51,0.394501,0.640183,0.35163
0.52,0.332749,0.675532,0.298232
0.53,0.282008,0.669935,0.255992
0.54,0.240514,0.619788,0.221442
0.55,0.206627,0.527437,0.191432
0.56,0.17919,0.403676,0.164142
0.57,0.15775,0.268951,0.139994
0.58,0.142377,0.150323,0.121219
0.59,0.132886,0.0691234,0.109416
0.6,0.128062,0.0266297,0.103561
0.61,0.12604,0.00894036,0.101187
0.62,0.125316,0.0026978,0.100357
0.63,0.125087,0.000742951,0.100098
0.64,0.125022,0.000187809,0.100025
0.65,0.125005,4.36581e-05,0.100006
0.66,0.125001,9.33658e-06,0.100001
0.67,0.125,1.83694e-06,0.1
0.68,0.125,3.29655e-07,0.1
0.69,0.125,5.22024e-08,0.1
0.7,0.125,9.18885e-09,0.1
0.71,0.125,1.46338e-09,0.1
0.72,0.125,1.88855e-10,0.1
0.73,0.125,2.23239e-11,0.1
0.74,0.125,2.41142e-12,0.1
0.75,0.125,2.37711e-13,0.1
0.76,0.125,2.13255e-14,0.1
0.77,0.125,1.72928e-15,0.1
0.78,0.125,1.11508e-16,0.1
0.79,0.125,0,0.1
0.8,0.125,0,0.1
0.81,0.125,0,0.1
0.82,0.125,0,0.1
0.83,0.125,0,0.1
0.84,0.125,0,0.1
0.85,0.125,0,0.1
0.86,0.125,0,0.1
0.87,0.125,0,0.1
0.88,0.125,0,0.1
0.89,0.125,0,0.1
0.9,0.125,0,0.1
0.91,0.125,0,0.1
0.92,0.125,0,0.1
0.93,0.125,0,0.1
0.94,0.125,0,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,0,0.1
0.99,0.125,0,0.1
1,0.125,0,0.1
