x,rho,u,p
0,1,0,1
0.01,1,4.50233e-11,1
0.02,1,1.96518e-10,1
0.03,1,7.78268e-10,1
0.04,1,3.06545e-09,1
0.05,1,8.89035e-09,1
0.06,1,2.16948e-08,1
0.07,1,5.64632e-08,1
0.08,1,1.49023e-07,1
0.09,1,3.82872e-07,1
0.1,0.999999,9.56569e-07,0.999999
0.11,0.999998,2.32349e-06,0.999997
0.12,0.999995,5.48404e-06,0.999994
0.13,0.999989,1.25699e-05,0.999985
0.14,0.999976,2.79617e-05,0.999967
0.15,0.999949,6.03261e-05,0.999929
0.16,0.999893,0.000126139,0.999851
0.17,0.999784,0.000255434,0.999698
0.18,0.999577,0.000500562,0.999408
0.19,0.999198,0.000948517,0.998878
0.2,0.998531,0.00173658,0.997947
0.21,0.997403,0.00306951,0.996373
0.22,0.995572,0.00523422,0.993821
0.23,0.992723,0.00860547,0.989857
0.24,0.988477,0.0136348,0.983967
0.25,0.98243,0.0208162,0.975606
0.26,0.974199,0.0306287,0.964276
0.27,0.963492,0.0434647,0.94962
0.28,0.950166,0.0595638,0.931503
0.29,0.934258,0.0789726,0.910046
0.3,0.915976,0.101547,0.885616
0.31,0.895655,0.126989,0.858747
0.32,0.873702,0.154911,0.830057
0.33,0.850531,0.184891,0.80016
0.34,0.826531,0.216521,0.769614
0.35,0.80204,0.249427,0.738893
0.36,0.77734,0.283283,0.70838
0.37,0.752663,0.317808,0.678378
0.38,0.728196,0.352759,0.649117
0.39,0.704085,0.387924,0.620774
0.4,0.680452,0.423114,0.593478
0.41,0.65739,0.45816,0.567324
0.42,0.634979,0.492901,0.542383
0.43,0.613279,0.527183,0.518702
0.44,0.59234,0.560858,0.496315
0.45,0.572202,0.593778,0.475243
0.46,0.552893,0.625792,0.455496
0.47,0.534436,0.656752,0.437081
0.48,0.516846,0.686506,0.419996
0.49,0.500131,0.714906,0.40424
0.5,0.484298,0.741803,0.389812
0.51,0.469352,0.766565,0.376783
0.52,0.45517,0.789468,0.364976
0.53,0.441689,0.810869,0.354261
0.54,0.428952,0.830171,0.344747
0.55,0.416898,0.847286,0.336375
0.56,0.405453,0.862161,0.329074
0.57,0.394538,0.874777,0.32276
0.58,0.384073,0.885144,0.317335
0.59,0.373975,0.893299,0.312689
0.6,0.364167,0.899303,0.308703
0.61,0.354579,0.903229,0.305246
0.62,0.345152,0.905149,0.30218
0.63,0.33584,0.905125,0.299364
0.64,0.32661,0.903191,0.296655
0.65,0.317443,0.899338,0.293909
0.66,0.308328,0.893508,0.290986
0.67,0.299263,0.885579,0.287748
0.68,0.290249,0.875359,0.284061
0.69,0.281284,0.862581,0.279793
0.7,0.272357,0.846903,0.274819
0.71,0.263449,0.827906,0.269014
0.72,0.25453,0.805104,0.262265
0.73,0.245558,0.777949,0.25447
0.74,0.23648,0.745855,0.245545
0.75,0.227242,0.708228,0.235441
0.76,0.217796,0.66452,0.224159
0.77,0.208113,0.614313,0.211765
0.78,0.198199,0.55745,0.198421
0.79,0.188115,0.494227,0.184403
0.8,0.177998,0.425639,0.170118
0.81,0.168076,0.353646,0.156102
0.82,0.158664,0.28134,0.142975
0.83,0.150134,0.212767,0.13136
0.84,0.142841,0.15219,0.121738
0.85,0.137022,0.102857,0.114324
0.86,0.132709,0.0659361,0.109012
0.87,0.129732,0.0403984,0.105451
0.88,0.127802,0.0238673,0.103194
0.89,0.126612,0.0137048,0.101825
0.9,0.125906,0.00769378,0.101022
0.91,0.1255,0.00423941,0.100562
0.92,0.125271,0.00229827,0.100304
0.93,0.125145,0.00122743,0.100162
0.94,0.125076,0.000646212,0.100086
0.95,0.12504,0.000335428,0.100044
0.96,0.12502,0.000171549,0.100023
0.97,0.12501,8.60971e-05,0.100012
0.98,0.125005,4.14889e-05,0.100006
0.99,0.125003,1.68859e-05,0.100004
1,0.125003,0,0.100004
