x,rho,u,p
0,1,0,1
0.01,1,2.30844e-13,1
0.02,1,1.0652e-12,1
0.03,1,3.93862e-12,1
0.04,1,1.42541e-11,1
0.05,1,5.22243e-11,1
0.06,1,2.00241e-10,1
0.07,1,8.34305e-10,1
0.08,1,3.40893e-09,1
0.09,1,1.00999e-08,1
0.1,1,2.6032e-08,1
0.11,1,7.28613e-08,1
0.12,1,2.01586e-07,1
0.13,1,5.41726e-07,0.999999
0.14,0.999999,1.41147e-06,0.999998
0.15,0.999997,3.56376e-06,0.999996
0.16,0.999993,8.71389e-06,0.99999
0.17,0.999983,2.06188e-05,0.999976
0.18,0.99996,4.71765e-05,0.999944
0.19,0.999912,0.000104289,0.999877
0.2,0.999812,0.000222544,0.999737
0.21,0.999613,0.000457997,0.999458
0.22,0.999232,0.000908166,0.998926
0.23,0.998533,0.0017334,0.99795
0.24,0.997307,0.00318161,0.99624
0.25,0.99525,0.00561061,0.993377
0.26,0.99196,0.00949828,0.988808
0.27,0.98695,0.0154277,0.981871
0.28,0.979695,0.0240363,0.971871
0.29,0.969717,0.0359296,0.958192
0.3,0.95668,0.0515741,0.940442
0.31,0.94047,0.0712042,0.918559
0.32,0.921229,0.0947787,0.892845
0.33,0.899323,0.122004,0.863905
0.34,0.875255,0.152408,0.832524
0.35,0.849578,0.185441,0.799529
0.36,0.822821,0.220548,0.765683
0.37,0.795446,0.25722,0.731633
0.38,0.767836,0.295013,0.697898
0.39,0.740301,0.333547,0.664874
0.4,0.713081,0.372495,0.632857
0.41,0.68637,0.411575,0.602064
0.42,0.660318,0.450535,0.57265
0.43,0.635042,0.48914,0.544724
0.44,0.610635,0.527173,0.518361
0.45,0.587169,0.56442,0.493608
0.46,0.564695,0.600673,0.47049
0.47,0.54325,0.635728,0.449019
0.48,0.522856,0.66938,0.42919
0.49,0.503521,0.701429,0.410994
0.5,0.485249,0.731683,0.394415
0.51,0.468041,0.759509,0.379505
0.52,0.451785,0.785056,0.366099
0.53,0.436415,0.80856,0.354066
0.54,0.421942,0.829426,0.343469
0.55,0.408282,0.847538,0.334218
0.56,0.395343,0.862814,0.326204
0.57,0.383025,0.875212,0.319301
0.58,0.371227,0.884728,0.313367
0.59,0.35985,0.891392,0.30824
0.6,0.348803,0.895252,0.303743
0.61,0.338004,0.896362,0.299687
0.62,0.327389,0.894756,0.295876
0.63,0.316907,0.890435,0.292112
0.64,0.306526,0.883338,0.288196
0.65,0.296222,0.873328,0.283935
0.66,0.285982,0.860181,0.279145
0.67,0.275792,0.843575,0.273649
0.68,0.265639,0.823087,0.267286
0.69,0.255499,0.798206,0.259912
0.7,0.245339,0.768345,0.251403
0.71,0.235122,0.732872,0.24167
0.72,0.224806,0.691159,0.230672
0.73,0.214358,0.642665,0.218436
0.74,0.203769,0.587059,0.205081
0.75,0.193073,0.524406,0.190845
0.76,0.182373,0.455431,0.176111
0.77,0.171859,0.381827,0.161412
0.78,0.161822,0.306522,0.147408
0.79,0.152631,0.233661,0.134798
0.8,0.144676,0.168,0.124184
0.81,0.138252,0.113604,0.115903
0.82,0.133451,0.0724417,0.109931
0.83,0.130131,0.0438853,0.105931
0.84,0.12799,0.0255002,0.103415
0.85,0.126685,0.0143394,0.10191
0.86,0.125925,0.00785639,0.101043
0.87,0.125497,0.00421281,0.100558
0.88,0.125262,0.0022169,0.100294
0.89,0.125135,0.00114654,0.100152
0.9,0.125069,0.000583194,0.100077
0.91,0.125034,0.000291847,0.100039
0.92,0.125017,0.000143697,0.100019
0.93,0.125008,6.96102e-05,0.100009
0.94,0.125004,3.31735e-05,0.100004
0.95,0.125002,1.55504e-05,0.100002
0.96,0.125001,7.16724e-06,0.100001
0.97,0.125,3.24047e-06,0.1
0.98,0.125,1.41449e-06,0.1
0.99,0.125,5.32852e-07,0.1
1,0.125,0,0.1
