x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,5.06246e-17,1
0.09,1,3.54468e-16,1
0.1,1,2.21719e-15,1
0.11,1,1.19655e-14,1
0.12,1,6.21402e-14,1
0.13,1,3.1387e-13,1
0.14,1,1.54518e-12,1
0.15,1,7.45408e-12,1
0.16,1,3.57952e-11,1
0.17,1,1.76866e-10,1
0.18,1,8.99419e-10,1
0.19,1,4.21929e-09,1
0.2,1,1.47881e-08,1
0.21,1,4.86981e-08,1
0.22,1,1.70297e-07,1
0.23,1,5.67129e-07,0.999999
0.24,0.999998,1.808e-06,0.999998
0.25,0.999995,5.51229e-06,0.999993
0.26,0.999986,1.60519e-05,0.999981
0.27,0.999962,4.45841e-05,0.999947
0.28,0.9999,0.000117933,0.99986
0.29,0.999748,0.000296609,0.999649
0.3,0.999398,0.000708056,0.999162
0.31,0.998638,0.00160134,0.998106
0.32,0.997083,0.00342457,0.995952
0.33,0.994106,0.00691203,0.991841
0.34,0.98878,0.0131437,0.984525
0.35,0.979925,0.0235136,0.972444
0.36,0.966284,0.0395416,0.954
0.37,0.946865,0.0625204,0.928053
0.38,0.921312,0.0931071,0.894413
0.39,0.8901,0.131076,0.854061
0.4,0.854395,0.175399,0.808877
0.41,0.815676,0.224607,0.761055
0.42,0.775361,0.277179,0.712578
0.43,0.734614,0.331771,0.664969
0.44,0.694308,0.387271,0.619281
0.45,0.655075,0.442762,0.57619
0.46,0.61736,0.497457,0.536108
0.47,0.581479,0.550643,0.499269
0.48,0.54765,0.60163,0.465792
0.49,0.516016,0.649716,0.435725
0.5,0.486643,0.693028,0.40921
0.51,0.459179,0.732045,0.385646
0.52,0.433471,0.767469,0.364607
0.53,0.4097,0.797344,0.346354
0.54,0.387705,0.82105,0.330633
0.55,0.36727,0.838102,0.317105
0.56,0.348159,0.848136,0.305365
0.57,0.33013,0.850889,0.29495
0.58,0.312959,0.84617,0.285355
0.59,0.296451,0.833809,0.276056
0.6,0.280448,0.813592,0.266535
0.61,0.264839,0.785212,0.256323
0.62,0.249555,0.748247,0.245029
0.63,0.234565,0.702189,0.232382
0.64,0.219873,0.646567,0.218271
0.65,0.205523,0.581175,0.202787
0.66,0.191608,0.506453,0.186263
0.67,0.178298,0.424021,0.169305
0.68,0.165867,0.337262,0.15278
0.69,0.1547,0.251641,0.137721
0.7,0.145237,0.174097,0.125096
0.71,0.137832,0.110973,0.115496
0.72,0.132566,0.0653265,0.108917
0.73,0.129176,0.0358857,0.104828
0.74,0.127181,0.0186462,0.102488
0.75,0.126089,0.00927278,0.101232
0.76,0.125524,0.00444928,0.10059
0.77,0.125244,0.00206961,0.100274
0.78,0.12511,0.000935596,0.100124
0.79,0.125049,0.000411526,0.100054
0.8,0.125021,0.000176208,0.100023
0.81,0.125009,7.3459e-05,0.10001
0.82,0.125004,2.98168e-05,0.100004
0.83,0.125001,1.17832e-05,0.100002
0.84,0.125001,4.53373e-06,0.100001
0.85,0.125,1.69845e-06,0.1
0.86,0.125,6.19837e-07,0.1
0.87,0.125,2.16324e-07,0.1
0.88,0.125,7.02006e-08,0.1
0.89,0.125,2.42867e-08,0.1
0.9,0.125,8.91114e-09,0.1
0.91,0.125,2.92186e-09,0.1
0.92,0.125,9.15424e-10,0.1
0.93,0.125,2.78543e-10,0.1
0.94,0.125,8.24671e-11,0.1
0.95,0.125,2.37753e-11,0.1
0.96,0.125,6.6761e-12,0.1
0.97,0.125,1.82591e-12,0.1
0.98,0.125,4.85505e-13,0.1
0.99,0.125,1.19998e-13,0.1
1,0.125,0,0.1
