x,rho,u,p
0,1,0,1
0.01,1,7.01182e-13,1
0.02,1,3.15174e-12,1
0.03,1,1.14451e-11,1
0.04,1,4.13014e-11,1
0.05,1,1.54023e-10,1
0.06,1,6.16601e-10,1
0.07,1,2.6054e-09,1
0.08,1,8.20307e-09,1
0.09,1,2.09099e-08,1
0.1,1,5.68932e-08,1
0.11,1,1.56657e-07,1
0.12,1,4.19317e-07,1
0.13,0.999999,1.08895e-06,0.999999
0.14,0.999998,2.74277e-06,0.999997
0.15,0.999994,6.69599e-06,0.999992
0.16,0.999987,1.58338e-05,0.999981
0.17,0.999969,3.62394e-05,0.999957
0.18,0.999932,8.0216e-05,0.999905
0.19,0.999855,0.00017158,0.999797
0.2,0.9997,0.000354337,0.999581
0.21,0.999403,0.000705863,0.999165
0.22,0.998853,0.00135511,0.998397
0.23,0.99788,0.0025048,0.997039
0.24,0.99623,0.00445377,0.99474
0.25,0.993558,0.00761178,0.991023
0.26,0.989429,0.012496,0.985297
0.27,0.983353,0.0196979,0.976901
0.28,0.974849,0.0298162,0.965205
0.29,0.963526,0.0433629,0.949727
0.3,0.949174,0.060668,0.930256
0.31,0.931816,0.0818161,0.906915
0.32,0.911701,0.106638,0.880149
0.33,0.889249,0.134764,0.85063
0.34,0.864968,0.165701,0.819129
0.35,0.839375,0.198922,0.786409
0.36,0.812943,0.233921,0.753142
0.37,0.786076,0.270246,0.719888
0.38,0.759104,0.307503,0.687085
0.39,0.732291,0.345358,0.655069
0.4,0.705847,0.383523,0.624088
0.41,0.679936,0.421744,0.594326
0.42,0.65469,0.459792,0.565913
0.43,0.63021,0.497455,0.538942
0.44,0.606579,0.534532,0.513475
0.45,0.583857,0.570826,0.489551
0.46,0.562092,0.606145,0.467193
0.47,0.541315,0.640297,0.446408
0.48,0.521546,0.673092,0.427195
0.49,0.502794,0.70434,0.409544
0.5,0.485065,0.733864,0.393444
0.51,0.468359,0.761017,0.378954
0.52,0.452562,0.785986,0.365905
0.53,0.437608,0.80905,0.354163
0.54,0.423518,0.829598,0.343806
0.55,0.410211,0.847525,0.334751
0.56,0.397599,0.862757,0.326897
0.57,0.385588,0.875258,0.32013
0.58,0.374082,0.885029,0.314316
0.59,0.362984,0.892101,0.309308
0.6,0.352208,0.896528,0.304942
0.61,0.341673,0.898369,0.301043
0.62,0.331318,0.897671,0.29743
0.63,0.321092,0.894451,0.293915
0.64,0.310963,0.888673,0.290313
0.65,0.30091,0.880237,0.286442
0.66,0.290919,0.868958,0.282126
0.67,0.280981,0.854563,0.277197
0.68,0.271084,0.836686,0.271495
0.69,0.26121,0.814867,0.264874
0.7,0.251331,0.788567,0.257204
0.71,0.241409,0.757183,0.248378
0.72,0.2314,0.720087,0.238324
0.73,0.221261,0.676676,0.227023
0.74,0.210963,0.626464,0.214526
0.75,0.200506,0.569218,0.200983
0.76,0.189942,0.505158,0.186666
0.77,0.179394,0.43523,0.171993
0.78,0.16908,0.361405,0.157525
0.79,0.159315,0.286892,0.143928
0.8,0.150478,0.215997,0.131878
0.81,0.142943,0.153342,0.12191
0.82,0.136959,0.102499,0.114269
0.83,0.132561,0.0647653,0.108845
0.84,0.129564,0.0389977,0.105258
0.85,0.127651,0.0225902,0.103021
0.86,0.126493,0.0126942,0.10169
0.87,0.12582,0.00696244,0.100924
0.88,0.125441,0.00374214,0.100496
0.89,0.125233,0.00197561,0.100262
0.9,0.125121,0.00102579,0.100136
0.91,0.125062,0.000524153,0.100069
0.92,0.125031,0.000263639,0.100035
0.93,0.125015,0.000130536,0.100017
0.94,0.125008,6.36203e-05,0.100008
0.95,0.125004,3.05169e-05,0.100004
0.96,0.125002,1.43999e-05,0.100002
0.97,0.125001,6.66659e-06,0.100001
0.98,0.125,2.97801e-06,0.1
0.99,0.125,1.1445e-06,0.1
1,0.125,0,0.1
