x,rho,u,p
0,1,0,1
0.01,1,9.82056e-11,1
0.02,1,4.29314e-10,1
0.03,1,1.71733e-09,1
0.04,1,5.90833e-09,1
0.05,1,1.48997e-08,1
0.06,1,3.6317e-08,1
0.07,1,9.64974e-08,1
0.08,1,2.49048e-07,1
0.09,0.999999,6.25657e-07,0.999999
0.1,0.999999,1.52918e-06,0.999998
0.11,0.999997,3.63407e-06,0.999996
0.12,0.999993,8.39275e-06,0.99999
0.13,0.999984,1.88249e-05,0.999978
0.14,0.999965,4.09827e-05,0.999952
0.15,0.999927,8.65405e-05,0.999898
0.16,0.99985,0.000177127,0.99979
0.17,0.999703,0.000351139,0.999585
0.18,0.99943,0.000673708,0.999203
0.19,0.998943,0.00125005,0.998522
0.2,0.998104,0.00224137,0.99735
0.21,0.996717,0.00388067,0.995416
0.22,0.994516,0.00648367,0.99235
0.23,0.991167,0.0104479,0.987696
0.24,0.986289,0.0162326,0.980936
0.25,0.979492,0.0243167,0.971552
0.26,0.970437,0.0351362,0.959109
0.27,0.958893,0.0490162,0.943342
0.28,0.944791,0.0661163,0.924215
0.29,0.928231,0.0864077,0.901942
0.3,0.909469,0.10969,0.876946
0.31,0.888857,0.135638,0.84978
0.32,0.866795,0.16386,0.821044
0.33,0.843677,0.193953,0.791317
0.34,0.819862,0.225532,0.761109
0.35,0.795657,0.258254,0.730848
0.36,0.77132,0.291819,0.700879
0.37,0.747057,0.325969,0.671469
0.38,0.723037,0.36048,0.642826
0.39,0.699394,0.395156,0.615105
0.4,0.676237,0.429823,0.588423
0.41,0.653653,0.46432,0.562865
0.42,0.631711,0.498497,0.538491
0.43,0.61047,0.532208,0.515347
0.44,0.589974,0.565311,0.493462
0.45,0.57026,0.597665,0.472853
0.46,0.551355,0.629126,0.453533
0.47,0.53328,0.659552,0.435505
0.48,0.516048,0.688795,0.41877
0.49,0.499671,0.71671,0.403327
0.5,0.484152,0.743146,0.389177
0.51,0.469495,0.767529,0.376383
0.52,0.455581,0.790108,0.364777
0.53,0.442349,0.811202,0.354238
0.54,0.42984,0.830272,0.344865
0.55,0.417995,0.847226,0.336607
0.56,0.406746,0.862012,0.329397
0.57,0.396017,0.874611,0.323156
0.58,0.385727,0.885034,0.31779
0.59,0.375798,0.893318,0.313198
0.6,0.366154,0.899525,0.309263
0.61,0.356727,0.903727,0.305864
0.62,0.347457,0.906001,0.302869
0.63,0.3383,0.906412,0.300143
0.64,0.329221,0.905002,0.297551
0.65,0.320202,0.901776,0.294954
0.66,0.311233,0.896691,0.29222
0.67,0.302312,0.889646,0.289215
0.68,0.293441,0.880474,0.28581
0.69,0.284621,0.86894,0.28188
0.7,0.275844,0.854732,0.2773
0.71,0.267096,0.837467,0.271951
0.72,0.25835,0.816693,0.265718
0.73,0.249566,0.791893,0.258493
0.74,0.240697,0.762503,0.250186
0.75,0.231685,0.727935,0.240731
0.76,0.222477,0.687615,0.2301
0.77,0.213032,0.641049,0.218324
0.78,0.203334,0.587929,0.20551
0.79,0.193413,0.528285,0.191869
0.8,0.183365,0.462697,0.177733
0.81,0.173367,0.392561,0.163566
0.82,0.163687,0.320323,0.149942
0.83,0.154673,0.249518,0.13749
0.84,0.146698,0.184365,0.126777
0.85,0.140074,0.128779,0.118174
0.86,0.134952,0.0851375,0.11175
0.87,0.13127,0.0535789,0.107277
0.88,0.128796,0.0323677,0.10435
0.89,0.127225,0.0189317,0.102527
0.9,0.126271,0.0107963,0.101436
0.91,0.125711,0.00603291,0.1008
0.92,0.125391,0.00331373,0.100439
0.93,0.125212,0.00179247,0.100237
0.94,0.125113,0.000955767,0.100127
0.95,0.125059,0.000502528,0.100067
0.96,0.125031,0.000260377,0.100035
0.97,0.125016,0.000132378,0.100018
0.98,0.125008,6.45533e-05,0.100009
0.99,0.125005,2.65012e-05,0.100006
1,0.125005,0,0.100006
