x,rho,u,p
0,1,0,1
0.01,1,8.40065e-08,1
0.02,1,2.81084e-07,1
0.03,0.999999,6.92828e-07,0.999999
0.04,0.999999,1.5906e-06,0.999998
0.05,0.999997,3.53034e-06,0.999996
0.06,0.999994,7.62944e-06,0.999991
0.07,0.999986,1.60726e-05,0.999981
0.08,0.999972,3.30017e-05,0.999961
0.09,0.999944,6.60171e-05,0.999922
0.1,0.999891,0.000128596,0.999848
0.11,0.999794,0.000243787,0.999712
0.12,0.99962,0.00044954,0.999468
0.13,0.999319,0.000805839,0.999047
0.14,0.998813,0.00140347,0.99834
0.15,0.997993,0.00237352,0.997195
0.16,0.996707,0.00389575,0.995398
0.17,0.994758,0.00620305,0.992681
0.18,0.991909,0.0095784,0.988717
0.19,0.987896,0.0143412,0.983144
0.2,0.982451,0.0208219,0.975604
0.21,0.975331,0.0293264,0.965782
0.22,0.966361,0.040098,0.95346
0.23,0.955452,0.0532842,0.938555
0.24,0.942624,0.0689191,0.921137
0.25,0.927997,0.0869253,0.901416
0.26,0.911768,0.107133,0.87971
0.27,0.894184,0.129311,0.856399
0.28,0.875513,0.153196,0.831883
0.29,0.856015,0.178521,0.806541
0.3,0.83593,0.205033,0.780719
0.31,0.815467,0.232501,0.754711
0.32,0.794808,0.260721,0.728763
0.33,0.774102,0.289514,0.703077
0.34,0.753475,0.318727,0.677811
0.35,0.733027,0.348222,0.653093
0.36,0.712844,0.377879,0.629021
0.37,0.692996,0.407591,0.605672
0.38,0.673538,0.437258,0.583105
0.39,0.65452,0.466788,0.561365
0.4,0.635982,0.496091,0.540487
0.41,0.617957,0.525079,0.520496
0.42,0.600475,0.553667,0.501412
0.43,0.583561,0.581766,0.48325
0.44,0.567235,0.609286,0.46602
0.45,0.551517,0.636134,0.449731
0.46,0.53642,0.662213,0.434388
0.47,0.521955,0.687423,0.419995
0.48,0.508128,0.711664,0.406554
0.49,0.494938,0.734836,0.394061
0.5,0.482378,0.756851,0.382508
0.51,0.47043,0.777631,0.371879
0.52,0.459077,0.797032,0.36217
0.53,0.448283,0.815034,0.353346
0.54,0.438016,0.831632,0.345375
0.55,0.42825,0.846704,0.338248
0.56,0.418939,0.860221,0.33193
0.57,0.410034,0.87217,0.326382
0.58,0.401482,0.882559,0.321555
0.59,0.393226,0.891418,0.317394
0.6,0.385206,0.898795,0.313834
0.61,0.377368,0.904757,0.310808
0.62,0.369659,0.909378,0.308239
0.63,0.362037,0.91274,0.306051
0.64,0.354464,0.914921,0.304162
0.65,0.346917,0.915994,0.302491
0.66,0.339382,0.916013,0.300956
0.67,0.331853,0.915013,0.299477
0.68,0.324336,0.912999,0.297976
0.69,0.316841,0.909946,0.296376
0.7,0.309383,0.905791,0.2946
0.71,0.301977,0.900433,0.292574
0.72,0.294636,0.893729,0.290221
0.73,0.287365,0.88549,0.287464
0.74,0.280163,0.875483,0.28422
0.75,0.273016,0.863425,0.280406
0.76,0.2659,0.848986,0.275934
0.77,0.258777,0.831787,0.270715
0.78,0.251599,0.811399,0.26466
0.79,0.244307,0.787354,0.257684
0.8,0.236836,0.759145,0.249714
0.81,0.229119,0.72625,0.240694
0.82,0.221098,0.688161,0.230603
0.83,0.212727,0.64443,0.219463
0.84,0.203989,0.594754,0.207361
0.85,0.194911,0.539092,0.194465
0.86,0.185576,0.477829,0.181046
0.87,0.17614,0.411993,0.167482
0.88,0.16684,0.343456,0.154255
0.89,0.157987,0.275035,0.141909
0.9,0.149932,0.210299,0.130976
0.91,0.142997,0.15292,0.121861
0.92,0.137396,0.105689,0.114745
0.93,0.133168,0.069671,0.109544
0.94,0.130177,0.0440932,0.105966
0.95,0.12818,0.0269877,0.103628
0.96,0.12691,0.0160558,0.102164
0.97,0.126138,0.00925985,0.101283
0.98,0.125698,0.00503006,0.100785
0.99,0.125492,0.00222347,0.100552
1,0.125492,0,0.100552
