x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,0,1
0.14,1,0,1
0.15,1,5.18758e-17,1
0.16,1,4.20909e-16,1
0.17,1,3.28159e-15,1
0.18,1,2.24848e-14,1
0.19,1,1.47144e-13,1
0.2,1,9.34628e-13,1
0.21,1,5.85491e-12,1
0.22,1,3.6282e-11,1
0.23,1,2.15262e-10,1
0.24,1,1.32001e-09,1
0.25,1,6.6122e-09,1
0.26,1,2.66147e-08,1
0.27,1,1.11459e-07,1
0.28,1,4.4809e-07,0.999999
0.29,0.999999,1.70495e-06,0.999998
0.3,0.999995,6.1276e-06,0.999993
0.31,0.999982,2.07632e-05,0.999975
0.32,0.999943,6.61922e-05,0.999922
0.33,0.99983,0.000198071,0.999765
0.34,0.999524,0.000554916,0.999343
0.35,0.998751,0.00145152,0.998281
0.36,0.99695,0.00353455,0.995817
0.37,0.993083,0.00798821,0.990558
0.38,0.985491,0.0167072,0.980316
0.39,0.971942,0.0322557,0.962238
0.4,0.950123,0.0573905,0.933548
0.41,0.918571,0.0941107,0.892841
0.42,0.877584,0.142651,0.841206
0.43,0.829306,0.201205,0.782116
0.44,0.776794,0.266717,0.719948
0.45,0.722892,0.336035,0.658427
0.46,0.6697,0.406533,0.600026
0.47,0.618595,0.476141,0.546138
0.48,0.570435,0.543155,0.497442
0.49,0.525723,0.606072,0.454192
0.5,0.484741,0.661453,0.416669
0.51,0.44707,0.709399,0.383969
0.52,0.412462,0.750566,0.355334
0.53,0.381111,0.781336,0.330974
0.54,0.352637,0.800461,0.310213
0.55,0.326622,0.806907,0.292261
0.56,0.30264,0.799909,0.276231
0.57,0.280299,0.778969,0.26119
0.58,0.259282,0.743804,0.246236
0.59,0.239369,0.694317,0.230614
0.6,0.22046,0.630658,0.213843
0.61,0.202575,0.553509,0.195833
0.62,0.18586,0.464703,0.176982
0.63,0.170587,0.368133,0.158202
0.64,0.157155,0.270583,0.140807
0.65,0.146038,0.181401,0.126191
0.66,0.137614,0.109708,0.115292
0.67,0.131909,0.0599515,0.108156
0.68,0.128482,0.0300146,0.104025
0.69,0.126637,0.0140172,0.101866
0.7,0.125727,0.00619653,0.100822
0.71,0.125308,0.00261664,0.100347
0.72,0.125125,0.00106054,0.10014
0.73,0.125049,0.000413487,0.100055
0.74,0.125018,0.000155226,0.100021
0.75,0.125007,5.61292e-05,0.100007
0.76,0.125002,1.95522e-05,0.100003
0.77,0.125001,6.56193e-06,0.100001
0.78,0.125,2.12205e-06,0.1
0.79,0.125,6.61655e-07,0.1
0.8,0.125,1.94162e-07,0.1
0.81,0.125,5.29851e-08,0.1
0.82,0.125,1.60119e-08,0.1
0.83,0.125,4.81549e-09,0.1
0.84,0.125,1.26386e-09,0.1
0.85,0.125,3.18243e-10,0.1
0.86,0.125,7.71416e-11,0.1
0.87,0.125,1.80165e-11,0.1
0.88,0.125,4.05626e-12,0.1
0.89,0.125,8.80468e-13,0.1
0.9,0.125,1.84299e-13,0.1
0.91,0.125,3.72396e-14,0.1
0.92,0.125,7.18399e-15,0.1
0.93,0.125,1.34319e-15,0.1
0.94,0.125,2.1319e-16,0.1
0.95,0.125,1.15158e-17,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,0,0.1
0.99,0.125,0,0.1
1,0.125,0,0.1
