x,rho,u,p
0,1,0,1
0.01,1,3.7293e-09,1
0.02,1,1.1872e-08,1
0.03,1,2.85458e-08,1
0.04,1,7.33378e-08,1
0.05,1,1.84239e-07,1
0.06,1,4.51565e-07,0.999999
0.07,0.999999,1.07862e-06,0.999999
0.08,0.999998,2.51007e-06,0.999997
0.09,0.999995,5.68816e-06,0.999993
0.1,0.999989,1.25461e-05,0.999985
0.11,0.999977,2.69189e-05,0.999968
0.12,0.999953,5.61525e-05,0.999934
0.13,0.999904,0.00011381,0.999865
0.14,0.999811,0.000223985,0.999735
0.15,0.999638,0.00042776,0.999494
0.16,0.99933,0.000792196,0.999063
0.17,0.998798,0.00142175,0.998319
0.18,0.99791,0.00247104,0.997079
0.19,0.996485,0.00415656,0.995091
0.2,0.994282,0.00676316,0.992022
0.21,0.991009,0.0106402,0.987471
0.22,0.98634,0.0161824,0.980996
0.23,0.979945,0.023794,0.972159
0.24,0.971543,0.0338392,0.960598
0.25,0.960942,0.0465895,0.94609
0.26,0.948079,0.0621828,0.928596
0.27,0.933028,0.0806058,0.908279
0.28,0.915989,0.101706,0.885472
0.29,0.897244,0.125227,0.860621
0.3,0.877123,0.15085,0.834224
0.31,0.855958,0.178239,0.80677
0.32,0.834059,0.207069,0.778705
0.33,0.811697,0.237041,0.750413
0.34,0.789104,0.267893,0.722209
0.35,0.766472,0.299396,0.694348
0.36,0.743957,0.331351,0.66703
0.37,0.721687,0.363587,0.640409
0.38,0.699764,0.395951,0.614602
0.39,0.678272,0.428305,0.589701
0.4,0.65728,0.460523,0.565772
0.41,0.636845,0.492484,0.542865
0.42,0.617012,0.524073,0.521016
0.43,0.59782,0.555176,0.50025
0.44,0.579301,0.585678,0.480587
0.45,0.561481,0.615464,0.462038
0.46,0.54438,0.644415,0.444611
0.47,0.528014,0.672408,0.42831
0.48,0.512394,0.699315,0.41314
0.49,0.497528,0.725005,0.3991
0.5,0.483413,0.749347,0.386189
0.51,0.470035,0.772056,0.37442
0.52,0.457324,0.793199,0.363704
0.53,0.445235,0.812873,0.353972
0.54,0.433769,0.830817,0.345254
0.55,0.422886,0.846952,0.337518
0.56,0.412532,0.861227,0.330719
0.57,0.402646,0.873625,0.3248
0.58,0.393159,0.884154,0.319692
0.59,0.384004,0.892852,0.315314
0.6,0.37511,0.899775,0.31158
0.61,0.366417,0.904997,0.308393
0.62,0.357867,0.908597,0.30565
0.63,0.349417,0.910656,0.303247
0.64,0.341032,0.91124,0.301074
0.65,0.332691,0.910398,0.299022
0.66,0.324384,0.908145,0.296984
0.67,0.316111,0.904459,0.294853
0.68,0.307876,0.899271,0.292525
0.69,0.299688,0.892462,0.289896
0.7,0.291554,0.883854,0.286864
0.71,0.283476,0.873214,0.283327
0.72,0.275448,0.860246,0.279183
0.73,0.267452,0.844594,0.274329
0.74,0.259457,0.825842,0.268662
0.75,0.251421,0.803519,0.262085
0.76,0.24329,0.777108,0.254507
0.77,0.235005,0.746056,0.245856
0.78,0.226503,0.709806,0.236086
0.79,0.217731,0.667839,0.225194
0.8,0.208656,0.619746,0.213237
0.81,0.19928,0.565336,0.200351
0.82,0.189655,0.504803,0.186778
0.83,0.179906,0.438934,0.172875
0.84,0.170238,0.369359,0.159116
0.85,0.160943,0.298722,0.146069
0.86,0.152376,0.230612,0.134319
0.87,0.14489,0.16904,0.124363
0.88,0.138755,0.117411,0.116476
0.89,0.134066,0.0774611,0.11065
0.9,0.130723,0.048848,0.10662
0.91,0.128485,0.0296873,0.103985
0.92,0.127061,0.0175265,0.102338
0.93,0.126191,0.010115,0.101345
0.94,0.125676,0.00573154,0.10076
0.95,0.125378,0.00319679,0.100424
0.96,0.125208,0.00175566,0.100234
0.97,0.125114,0.000944604,0.100128
0.98,0.125065,0.00048469,0.100072
0.99,0.125042,0.000206309,0.100047
1,0.125042,0,0.100047
