x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,3.92824e-17,1
0.08,1,2.41385e-16,1
0.09,1,1.6282e-15,1
0.1,1,8.55216e-15,1
0.11,1,4.35285e-14,1
0.12,1,2.15255e-13,1
0.13,1,1.0355e-12,1
0.14,1,4.88275e-12,1
0.15,1,2.28207e-11,1
0.16,1,1.08857e-10,1
0.17,1,5.51719e-10,1
0.18,1,2.69118e-09,1
0.19,1,9.91875e-09,1
0.2,1,3.19352e-08,1
0.21,1,1.09994e-07,1
0.22,1,3.65485e-07,1
0.23,0.999999,1.16474e-06,0.999999
0.24,0.999997,3.55519e-06,0.999996
0.25,0.999991,1.03821e-05,0.999988
0.26,0.999975,2.89695e-05,0.999966
0.27,0.999935,7.71299e-05,0.999909
0.28,0.999834,0.000195648,0.999768
0.29,0.999599,0.000472056,0.999441
0.3,0.999081,0.00108151,0.998721
0.31,0.998003,0.00234857,0.997223
0.32,0.995891,0.00482529,0.9943
0.33,0.992019,0.00936323,0.988959
0.34,0.985389,0.0171333,0.979866
0.35,0.974828,0.0295321,0.965491
0.36,0.959232,0.0479339,0.944467
0.37,0.937899,0.0733284,0.916069
0.38,0.910821,0.105991,0.880581
0.39,0.878734,0.145381,0.839307
0.4,0.842879,0.190339,0.794178
0.41,0.80464,0.23945,0.747206
0.42,0.765261,0.291348,0.700102
0.43,0.725733,0.344861,0.654139
0.44,0.686792,0.39902,0.610185
0.45,0.648973,0.453019,0.568797
0.46,0.612657,0.506152,0.530318
0.47,0.578117,0.557767,0.494941
0.48,0.54554,0.607225,0.462769
0.49,0.515047,0.653874,0.433835
0.5,0.486681,0.696123,0.408239
0.51,0.460135,0.734327,0.385458
0.52,0.435269,0.769013,0.365125
0.53,0.412226,0.798517,0.34744
0.54,0.390864,0.822266,0.33218
0.55,0.370989,0.839806,0.319046
0.56,0.352382,0.850804,0.307668
0.57,0.334815,0.855024,0.297624
0.58,0.318075,0.852296,0.288448
0.59,0.301973,0.842474,0.279649
0.6,0.286356,0.825374,0.270738
0.61,0.271111,0.800724,0.261258
0.62,0.256162,0.768129,0.250812
0.63,0.241471,0.727081,0.239101
0.64,0.227027,0.677037,0.225952
0.65,0.212851,0.617578,0.211363
0.66,0.199002,0.548702,0.195536
0.67,0.185601,0.471247,0.178915
0.68,0.172852,0.387441,0.162208
0.69,0.161075,0.301403,0.146342
0.7,0.150684,0.219165,0.132326
0.71,0.142105,0.147526,0.120985
0.72,0.135605,0.0916499,0.112676
0.73,0.131135,0.0528515,0.10717
0.74,0.128339,0.0286305,0.103839
0.75,0.126729,0.0147594,0.101966
0.76,0.12586,0.00731496,0.100971
0.77,0.125413,0.00350863,0.100465
0.78,0.125193,0.00163483,0.100216
0.79,0.125088,0.00074139,0.100098
0.8,0.125039,0.000327521,0.100043
0.81,0.125017,0.000140993,0.100019
0.82,0.125007,5.9151e-05,0.100008
0.83,0.125003,2.41841e-05,0.100003
0.84,0.125001,9.63578e-06,0.100001
0.85,0.125,3.7413e-06,0.1
0.86,0.125,1.41571e-06,0.1
0.87,0.125,5.22804e-07,0.1
0.88,0.125,1.82338e-07,0.1
0.89,0.125,6.01403e-08,0.1
0.9,0.125,2.16473e-08,0.1
0.91,0.125,7.96372e-09,0.1
0.92,0.125,2.62876e-09,0.1
0.93,0.125,8.36704e-10,0.1
0.94,0.125,2.59001e-10,0.1
0.95,0.125,7.8069e-11,0.1
0.96,0.125,2.29322e-11,0.1
0.97,0.125,6.56592e-12,0.1
0.98,0.125,1.82819e-12,0.1
0.99,0.125,4.71182e-13,0.1
1,0.125,0,0.1
