x,rho,u,p
0,1,0,1
0.01,1,1.18567e-08,1
0.02,1,3.76752e-08,1
0.03,1,9.88155e-08,1
0.04,1,2.44392e-07,1
0.05,1,5.85932e-07,0.999999
0.06,0.999999,1.36859e-06,0.999998
0.07,0.999997,3.11591e-06,0.999996
0.08,0.999994,6.91281e-06,0.999992
0.09,0.999987,1.49376e-05,0.999982
0.1,0.999973,3.14221e-05,0.999963
0.11,0.999946,6.43105e-05,0.999924
0.12,0.999892,0.000127988,0.999849
0.13,0.999791,0.000247538,0.999707
0.14,0.999607,0.000464971,0.99945
0.15,0.999283,0.000847711,0.998997
0.16,0.998732,0.00149911,0.998227
0.17,0.997827,0.00256987,0.996963
0.18,0.996391,0.0042681,0.994959
0.19,0.994198,0.00686414,0.991903
0.2,0.990973,0.0106859,0.987418
0.21,0.986412,0.0161005,0.981092
0.22,0.980213,0.0234813,0.972522
0.23,0.972116,0.0331633,0.961375
0.24,0.961945,0.045397,0.947442
0.25,0.949639,0.060312,0.930685
0.26,0.93526,0.0779018,0.911244
0.27,0.918984,0.0980335,0.889415
0.28,0.901069,0.120477,0.865603
0.29,0.881812,0.144946,0.840259
0.3,0.861519,0.171132,0.813838
0.31,0.84048,0.198733,0.786756
0.32,0.81895,0.227471,0.759376
0.33,0.797151,0.2571,0.732002
0.34,0.775266,0.287402,0.704881
0.35,0.753446,0.31819,0.678208
0.36,0.731815,0.349301,0.652136
0.37,0.710474,0.380592,0.626785
0.38,0.689506,0.411933,0.602244
0.39,0.668977,0.443207,0.578584
0.4,0.648945,0.474302,0.555856
0.41,0.629454,0.505115,0.534099
0.42,0.610544,0.535541,0.513341
0.43,0.592247,0.565478,0.493604
0.44,0.57459,0.594821,0.474901
0.45,0.557596,0.623464,0.457243
0.46,0.541282,0.651297,0.440637
0.47,0.525663,0.678205,0.425088
0.48,0.510748,0.704071,0.410599
0.49,0.496541,0.728774,0.397169
0.5,0.483037,0.752192,0.384795
0.51,0.470218,0.77416,0.373471
0.52,0.458036,0.794662,0.363142
0.53,0.446454,0.813693,0.353766
0.54,0.435456,0.831112,0.345342
0.55,0.425006,0.846844,0.337843
0.56,0.415055,0.860843,0.33123
0.57,0.405548,0.873091,0.325454
0.58,0.396422,0.883596,0.320455
0.59,0.387614,0.892393,0.316164
0.6,0.379058,0.899535,0.312503
0.61,0.370694,0.905094,0.309386
0.62,0.36247,0.909149,0.306725
0.63,0.354338,0.911782,0.304422
0.64,0.346266,0.913067,0.302382
0.65,0.338231,0.913063,0.300507
0.66,0.330221,0.911806,0.298699
0.67,0.322235,0.909298,0.296863
0.68,0.314279,0.905505,0.294906
0.69,0.306362,0.900348,0.292734
0.7,0.298497,0.893701,0.290255
0.71,0.29069,0.885387,0.287379
0.72,0.282945,0.875174,0.284012
0.73,0.275253,0.862777,0.280059
0.74,0.267595,0.847853,0.275425
0.75,0.259939,0.830006,0.270013
0.76,0.252242,0.808785,0.263727
0.77,0.244447,0.783694,0.256479
0.78,0.236495,0.754203,0.248194
0.79,0.22832,0.719765,0.238821
0.8,0.219865,0.67986,0.228342
0.81,0.211091,0.634046,0.216795
0.82,0.201987,0.582062,0.204288
0.83,0.192589,0.52396,0.191024
0.84,0.182998,0.460301,0.177313
0.85,0.173394,0.392382,0.163582
0.86,0.164038,0.322444,0.15036
0.87,0.155265,0.253704,0.13822
0.88,0.147433,0.190016,0.127689
0.89,0.140848,0.135033,0.119123
0.9,0.135672,0.0911217,0.112617
0.91,0.131875,0.0586799,0.107992
0.92,0.129264,0.0363369,0.104894
0.93,0.127564,0.021812,0.102917
0.94,0.126505,0.0127786,0.101702
0.95,0.125867,0.00734088,0.100976
0.96,0.125492,0.00414236,0.100553
0.97,0.125278,0.0022851,0.100312
0.98,0.125162,0.00119799,0.100182
0.99,0.125109,0.000517467,0.100122
1,0.125109,0,0.100122
