x,rho,u,p
0,1,0,1
0.01,1,1.73422e-13,1
0.02,1,8.0595e-13,1
0.03,1,2.99864e-12,1
0.04,1,1.08978e-11,1
0.05,1,3.99512e-11,1
0.06,1,1.51131e-10,1
0.07,1,6.1267e-10,1
0.08,1,2.62095e-09,1
0.09,1,8.34492e-09,1
0.1,1,2.16052e-08,1
0.11,1,5.97238e-08,1
0.12,1,1.66785e-07,1
0.13,1,4.52209e-07,0.999999
0.14,0.999999,1.18848e-06,0.999999
0.15,0.999997,3.02667e-06,0.999996
0.16,0.999994,7.46424e-06,0.999991
0.17,0.999985,1.78129e-05,0.999979
0.18,0.999965,4.11029e-05,0.999951
0.19,0.999923,9.16306e-05,0.999892
0.2,0.999833,0.000197177,0.999767
0.21,0.999654,0.000409185,0.999516
0.22,0.999308,0.000818116,0.999032
0.23,0.998668,0.0015744,0.998138
0.24,0.997534,0.00291336,0.996557
0.25,0.995615,0.005179,0.993885
0.26,0.992519,0.00883714,0.989584
0.27,0.987762,0.014465,0.982995
0.28,0.980813,0.0227054,0.973411
0.29,0.971176,0.0341833,0.96019
0.3,0.958482,0.0493976,0.942894
0.31,0.942584,0.0686224,0.921411
0.32,0.923592,0.0918525,0.896001
0.33,0.901851,0.118819,0.867246
0.34,0.87786,0.149061,0.835927
0.35,0.85218,0.182024,0.802885
0.36,0.825353,0.217141,0.768907
0.37,0.797857,0.25389,0.734664
0.38,0.770089,0.291811,0.700694
0.39,0.742371,0.330513,0.667413
0.4,0.714953,0.369659,0.63513
0.41,0.688036,0.408958,0.60407
0.42,0.661775,0.448151,0.574396
0.43,0.636293,0.486999,0.546222
0.44,0.611685,0.525278,0.519626
0.45,0.588026,0.562771,0.494656
0.46,0.565368,0.599266,0.471341
0.47,0.54375,0.634553,0.449691
0.48,0.523193,0.668426,0.429703
0.49,0.503707,0.700682,0.411365
0.5,0.485295,0.731124,0.394662
0.51,0.467956,0.759123,0.379643
0.52,0.451582,0.784819,0.366144
0.53,0.436104,0.808435,0.354036
0.54,0.421532,0.82938,0.343377
0.55,0.407781,0.847536,0.334075
0.56,0.394757,0.862819,0.326019
0.57,0.38236,0.875185,0.319081
0.58,0.370488,0.88463,0.313115
0.59,0.359039,0.89118,0.307955
0.6,0.347922,0.894885,0.303422
0.61,0.337055,0.895795,0.299324
0.62,0.326373,0.893942,0.29546
0.63,0.315826,0.889322,0.291627
0.64,0.305379,0.881866,0.287625
0.65,0.29501,0.87143,0.283259
0.66,0.284705,0.857776,0.27834
0.67,0.274451,0.84057,0.272692
0.68,0.264231,0.819376,0.266153
0.69,0.254021,0.793668,0.258579
0.7,0.24379,0.76285,0.24985
0.71,0.233497,0.726284,0.239883
0.72,0.223104,0.683349,0.228646
0.73,0.21258,0.633526,0.216179
0.74,0.201923,0.576538,0.20262
0.75,0.191178,0.512549,0.188235
0.76,0.180461,0.442437,0.173435
0.77,0.169982,0.368116,0.158783
0.78,0.160048,0.292766,0.144956
0.79,0.151041,0.220736,0.132653
0.8,0.14334,0.156795,0.122441
0.81,0.137212,0.10473,0.114595
0.82,0.132703,0.0660219,0.109022
0.83,0.129632,0.0396009,0.105341
0.84,0.127677,0.0228205,0.103052
0.85,0.126498,0.0127434,0.101696
0.86,0.125817,0.0069397,0.100921
0.87,0.125436,0.00370062,0.10049
0.88,0.125229,0.00193703,0.100256
0.89,0.125118,0.000996531,0.100132
0.9,0.12506,0.000504209,0.100067
0.91,0.12503,0.000250959,0.100033
0.92,0.125015,0.000122881,0.100016
0.93,0.125007,5.91888e-05,0.100008
0.94,0.125003,2.80427e-05,0.100004
0.95,0.125002,1.30668e-05,0.100002
0.96,0.125001,5.98586e-06,0.100001
0.97,0.125,2.68973e-06,0.1
0.98,0.125,1.16693e-06,0.1
0.99,0.125,4.36908e-07,0.1
1,0.125,0,0.1
