x,rho,u,p
0,1,0,1
0.01,1,4.57948e-14,1
0.02,1,2.20026e-13,1
0.03,1,8.46417e-13,1
0.04,1,3.15777e-12,1
0.05,1,1.17007e-11,1
0.06,1,4.37252e-11,1
0.07,1,1.68833e-10,1
0.08,1,7.04124e-10,1
0.09,1,2.98461e-09,1
0.1,1,9.26271e-09,1
0.11,1,2.4323e-08,1
0.12,1,6.88814e-08,1
0.13,1,1.9428e-07,1
0.14,1,5.31586e-07,0.999999
0.15,0.999999,1.40874e-06,0.999998
0.16,0.999997,3.6142e-06,0.999996
0.17,0.999992,8.9707e-06,0.999989
0.18,0.999982,2.15247e-05,0.999975
0.19,0.999958,4.98867e-05,0.999941
0.2,0.999906,0.00011158,0.999868
0.21,0.999796,0.000240625,0.999715
0.22,0.999577,0.000499828,0.999409
0.23,0.999155,0.00099905,0.998818
0.24,0.998375,0.00191951,0.99773
0.25,0.997001,0.0035415,0.995816
0.26,0.994692,0.00626844,0.992603
0.27,0.990996,0.0106352,0.987474
0.28,0.985375,0.0172862,0.979704
0.29,0.977266,0.0269108,0.968548
0.3,0.966176,0.0401401,0.953384
0.31,0.951793,0.0574265,0.933867
0.32,0.934066,0.0789478,0.910035
0.33,0.913224,0.104576,0.882323
0.34,0.889721,0.133922,0.851466
0.35,0.864133,0.166434,0.818349
0.36,0.837061,0.2015,0.783858
0.37,0.809056,0.23853,0.748778
0.38,0.780588,0.276997,0.713758
0.39,0.752039,0.316445,0.679299
0.4,0.723709,0.356487,0.645779
0.41,0.695835,0.39679,0.613474
0.42,0.668601,0.437061,0.582582
0.43,0.642153,0.477033,0.553241
0.44,0.616601,0.516459,0.525546
0.45,0.592033,0.5551,0.499559
0.46,0.568511,0.592722,0.475313
0.47,0.546078,0.629098,0.452821
0.48,0.52476,0.664004,0.432082
0.49,0.504566,0.697221,0.41308
0.5,0.485496,0.728537,0.395794
0.51,0.467548,0.757343,0.380263
0.52,0.450618,0.783725,0.366332
0.53,0.434637,0.807853,0.353871
0.54,0.419605,0.829155,0.342921
0.55,0.405429,0.847499,0.333379
0.56,0.392012,0.862791,0.325125
0.57,0.379246,0.874978,0.318018
0.58,0.367025,0.88405,0.311897
0.59,0.355242,0.89003,0.30658
0.6,0.343801,0.892958,0.301871
0.61,0.332617,0.892877,0.297559
0.62,0.321624,0.889802,0.293426
0.63,0.310769,0.883702,0.289255
0.64,0.300019,0.874476,0.284829
0.65,0.289349,0.861931,0.279941
0.66,0.278742,0.845777,0.274394
0.67,0.268183,0.825616,0.268007
0.68,0.25765,0.800951,0.260619
0.69,0.247118,0.771198,0.252092
0.7,0.23655,0.735719,0.242327
0.71,0.225912,0.693876,0.231274
0.72,0.215172,0.645109,0.218954
0.73,0.204323,0.58907,0.205485
0.74,0.1934,0.525818,0.191107
0.75,0.182506,0.45609,0.176214
0.76,0.17183,0.381628,0.161354
0.77,0.161667,0.305458,0.147205
0.78,0.152391,0.231868,0.134493
0.79,0.144395,0.165765,0.123832
0.8,0.137972,0.111295,0.115561
0.81,0.133206,0.0703787,0.109638
0.82,0.129938,0.0422446,0.105704
0.83,0.12785,0.0243078,0.103253
0.84,0.12659,0.0135297,0.101801
0.85,0.125864,0.00733399,0.100974
0.86,0.125458,0.00388889,0.100515
0.87,0.125239,0.00202245,0.100268
0.88,0.125122,0.00103303,0.100137
0.89,0.125061,0.000518592,0.100069
0.9,0.12503,0.00025594,0.100034
0.91,0.125015,0.000124187,0.100016
0.92,0.125007,5.92404e-05,0.100008
0.93,0.125003,2.77796e-05,0.100004
0.94,0.125002,1.28044e-05,0.100002
0.95,0.125001,5.80056e-06,0.100001
0.96,0.125,2.58197e-06,0.1
0.97,0.125,1.12732e-06,0.1
0.98,0.125,4.75296e-07,0.1
0.99,0.125,1.69651e-07,0.1
1,0.125,0,0.1
