x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,0,1
0.14,1,0,1
0.15,1,0,1
0.16,1,0,1
0.17,1,0,1
0.18,1,0,1
0.19,1,0,1
0.2,1,0,1
0.21,1,2.97371e-17,1
0.22,1,2.91619e-16,1
0.23,1,3.08944e-15,1
0.24,1,2.86386e-14,1
0.25,1,2.56214e-13,1
0.26,1,2.24169e-12,1
0.27,1,1.90329e-11,1
0.28,1,1.46853e-10,1
0.29,1,1.17482e-09,1
0.3,1,7.47605e-09,1
0.31,1,3.86539e-08,1
0.32,1,2.02226e-07,1
0.33,0.999999,9.90492e-07,0.999999
0.34,0.999996,4.50208e-06,0.999995
0.35,0.999983,1.8939e-05,0.999977
0.36,0.999935,7.35096e-05,0.999913
0.37,0.999768,0.000262321,0.999688
0.38,0.999239,0.000857208,0.998979
0.39,0.997721,0.00255375,0.996957
0.4,0.9938,0.00690329,0.991774
0.41,0.984763,0.0168511,0.979957
0.42,0.966402,0.0369754,0.956296
0.43,0.933947,0.072654,0.915285
0.44,0.884674,0.127611,0.854599
0.45,0.820635,0.200938,0.778274
0.46,0.748198,0.286707,0.695335
0.47,0.674242,0.377299,0.614427
0.48,0.603383,0.466508,0.54057
0.49,0.53801,0.549813,0.475753
0.5,0.479162,0.621513,0.420611
0.51,0.426583,0.679626,0.37398
0.52,0.379874,0.722986,0.33456
0.53,0.33896,0.746034,0.301874
0.54,0.303065,0.746091,0.274377
0.55,0.27138,0.721407,0.250363
0.56,0.243173,0.671526,0.228148
0.57,0.217906,0.597604,0.206366
0.58,0.195319,0.502871,0.184359
0.59,0.175468,0.393542,0.16249
0.6,0.15869,0.280003,0.142173
0.61,0.145466,0.176617,0.125356
0.62,0.136112,0.0971169,0.113431
0.63,0.130367,0.0467307,0.106312
0.64,0.127332,0.0201187,0.102685
0.65,0.125929,0.00794545,0.101055
0.66,0.125344,0.00292794,0.100388
0.67,0.12512,0.0010157,0.100134
0.68,0.125039,0.000332978,0.100044
0.69,0.125012,0.000103319,0.100014
0.7,0.125004,3.03614e-05,0.100004
0.71,0.125001,8.45176e-06,0.100001
0.72,0.125,2.22907e-06,0.1
0.73,0.125,5.58411e-07,0.1
0.74,0.125,1.25829e-07,0.1
0.75,0.125,2.77047e-08,0.1
0.76,0.125,6.94479e-09,0.1
0.77,0.125,1.49157e-09,0.1
0.78,0.125,2.8813e-10,0.1
0.79,0.125,5.25407e-11,0.1
0.8,0.125,9.06796e-12,0.1
0.81,0.125,1.48366e-12,0.1
0.82,0.125,2.30027e-13,0.1
0.83,0.125,3.37845e-14,0.1
0.84,0.125,4.64614e-15,0.1
0.85,0.125,5.70888e-16,0.1
0.86,0.125,5.94189e-17,0.1
0.87,0.125,0,0.1
0.88,0.125,0,0.1
0.89,0.125,0,0.1
0.9,0.125,0,0.1
0.91,0.125,0,0.1
0.92,0.125,0,0.1
0.93,0.125,0,0.1
0.94,0.125,0,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,0,0.1
0.99,0.125,0,0.1
1,0.125,0,0.1
