x,rho,u,p
0,1,0,1
0.01,1,3.31941e-17,1
0.02,1,1.88169e-16,1
0.03,1,1.15673e-15,1
0.04,1,5.28649e-15,1
0.05,1,2.33455e-14,1
0.06,1,1.0039e-13,1
0.07,1,4.22398e-13,1
0.08,1,1.74541e-12,1
0.09,1,7.13757e-12,1
0.1,1,2.92651e-11,1
0.11,1,1.22618e-10,1
0.12,1,5.47734e-10,1
0.13,1,2.47844e-09,1
0.14,1,8.45752e-09,1
0.15,1,2.41591e-08,1
0.16,1,7.38986e-08,1
0.17,1,2.23619e-07,1
0.18,0.999999,6.53459e-07,0.999999
0.19,0.999998,1.84173e-06,0.999998
0.2,0.999996,5.0032e-06,0.999994
0.21,0.999989,1.30888e-05,0.999985
0.22,0.999972,3.29421e-05,0.999961
0.23,0.999933,7.96791e-05,0.999906
0.24,0.999843,0.000185006,0.999781
0.25,0.999651,0.000411866,0.999513
0.26,0.999256,0.000878025,0.998961
0.27,0.998483,0.00179007,0.997883
0.28,0.997045,0.00348559,0.995881
0.29,0.994508,0.00647401,0.99236
0.3,0.99028,0.0114571,0.986509
0.31,0.983632,0.0193022,0.977353
0.32,0.973798,0.0309459,0.963889
0.33,0.960124,0.0472285,0.945317
0.34,0.94225,0.0687003,0.921278
0.35,0.920226,0.0954788,0.892014
0.36,0.894511,0.127227,0.85833
0.37,0.86585,0.163264,0.821396
0.38,0.83509,0.20274,0.782483
0.39,0.803043,0.244796,0.742747
0.4,0.770396,0.288659,0.703133
0.41,0.737702,0.333665,0.664355
0.42,0.705385,0.379259,0.62693
0.43,0.673768,0.424964,0.591215
0.44,0.643096,0.470362,0.557455
0.45,0.613556,0.515063,0.525809
0.46,0.585287,0.558698,0.496375
0.47,0.558387,0.600898,0.469209
0.48,0.532916,0.6413,0.444326
0.49,0.508892,0.679553,0.421702
0.5,0.486291,0.715351,0.401273
0.51,0.465065,0.748299,0.382968
0.52,0.445149,0.778156,0.36668
0.53,0.42648,0.804683,0.352303
0.54,0.40899,0.827468,0.339755
0.55,0.392567,0.846275,0.328886
0.56,0.377084,0.860925,0.319509
0.57,0.362399,0.871306,0.311404
0.58,0.348367,0.877361,0.304314
0.59,0.334853,0.879069,0.297953
0.6,0.321732,0.876412,0.292018
0.61,0.308905,0.869344,0.286193
0.62,0.296293,0.857747,0.280169
0.63,0.28384,0.841404,0.273645
0.64,0.271507,0.819976,0.266347
0.65,0.259266,0.792995,0.258036
0.66,0.247094,0.759882,0.24852
0.67,0.234969,0.719987,0.237669
0.68,0.222877,0.67267,0.225434
0.69,0.210814,0.617441,0.211873
0.7,0.198808,0.554156,0.197185
0.71,0.186942,0.483326,0.181738
0.72,0.17538,0.406493,0.166089
0.73,0.164392,0.326625,0.150972
0.74,0.154347,0.248247,0.137212
0.75,0.145661,0.1769,0.125565
0.76,0.138673,0.117639,0.116494
0.77,0.133504,0.0731422,0.110028
0.78,0.129999,0.0428619,0.105788
0.79,0.127802,0.0239345,0.103202
0.8,0.126511,0.0128668,0.101712
0.81,0.12579,0.00670989,0.10089
0.82,0.125402,0.00341094,0.100452
0.83,0.1252,0.00169496,0.100224
0.84,0.125097,0.000824518,0.100109
0.85,0.125046,0.000392909,0.100052
0.86,0.125022,0.000183462,0.100024
0.87,0.12501,8.39426e-05,0.100011
0.88,0.125004,3.76341e-05,0.100005
0.89,0.125002,1.65315e-05,0.100002
0.9,0.125001,7.11433e-06,0.100001
0.91,0.125,2.99938e-06,0.1
0.92,0.125,1.23903e-06,0.1
0.93,0.125,5.01132e-07,0.1
0.94,0.125,1.94099e-07,0.1
0.95,0.125,7.07572e-08,0.1
0.96,0.125,2.76876e-08,0.1
0.97,0.125,1.13245e-08,0.1
0.98,0.125,4.1944e-09,0.1
0.99,0.125,1.36821e-09,0.1
1,0.125,0,0.1
