x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,1.71709e-17,1
0.14,1,1.66124e-16,1
0.15,1,1.312e-15,1
0.16,1,8.64696e-15,1
0.17,1,5.45013e-14,1
0.18,1,3.31841e-13,1
0.19,1,1.97427e-12,1
0.2,1,1.14753e-11,1
0.21,1,6.52347e-11,1
0.22,1,3.79625e-10,1
0.23,1,2.16122e-09,1
0.24,1,9.46918e-09,1
0.25,1,3.60854e-08,1
0.26,1,1.44335e-07,1
0.27,1,5.49581e-07,0.999999
0.28,0.999998,1.98644e-06,0.999998
0.29,0.999994,6.80341e-06,0.999992
0.3,0.999981,2.20411e-05,0.999974
0.31,0.999943,6.74156e-05,0.99992
0.32,0.999834,0.000194262,0.99977
0.33,0.99955,0.00052615,0.999377
0.34,0.998855,0.00133612,0.998419
0.35,0.997275,0.00317281,0.996246
0.36,0.993948,0.00702642,0.991697
0.37,0.987504,0.0144737,0.982946
0.38,0.976077,0.027669,0.967577
0.39,0.957651,0.0490129,0.943106
0.4,0.930746,0.0804429,0.907962
0.41,0.895191,0.122601,0.862477
0.42,0.852381,0.174439,0.809088
0.43,0.804733,0.233641,0.751405
0.44,0.754775,0.297522,0.692901
0.45,0.704549,0.363686,0.636146
0.46,0.655498,0.430208,0.582753
0.47,0.608568,0.495531,0.533619
0.48,0.564365,0.558326,0.489182
0.49,0.523256,0.617386,0.449602
0.5,0.485459,0.669555,0.415152
0.51,0.450545,0.715209,0.384968
0.52,0.418285,0.755227,0.358364
0.53,0.388904,0.786285,0.335632
0.54,0.362078,0.807352,0.316215
0.55,0.337446,0.817566,0.299458
0.56,0.314637,0.816268,0.284617
0.57,0.293299,0.802993,0.270888
0.58,0.27313,0.777421,0.257461
0.59,0.253906,0.739313,0.243596
0.6,0.235491,0.688492,0.22872
0.61,0.217846,0.624949,0.212519
0.62,0.201025,0.549163,0.195031
0.63,0.185181,0.462697,0.176714
0.64,0.170581,0.369035,0.158455
0.65,0.157609,0.274316,0.141486
0.66,0.146729,0.187062,0.1271
0.67,0.138334,0.115797,0.116194
0.68,0.132509,0.0651115,0.108882
0.69,0.128905,0.033659,0.104522
0.7,0.126899,0.0162665,0.102168
0.71,0.125875,0.0074551,0.100989
0.72,0.125385,0.00327063,0.100433
0.73,0.125163,0.00138053,0.100183
0.74,0.125066,0.000562053,0.100074
0.75,0.125026,0.000220951,0.100029
0.76,0.12501,8.39056e-05,0.100011
0.77,0.125004,3.07842e-05,0.100004
0.78,0.125001,1.09127e-05,0.100001
0.79,0.125,3.73771e-06,0.1
0.8,0.125,1.23685e-06,0.1
0.81,0.125,3.96709e-07,0.1
0.82,0.125,1.15566e-07,0.1
0.83,0.125,3.36519e-08,0.1
0.84,0.125,1.11025e-08,0.1
0.85,0.125,3.28573e-09,0.1
0.86,0.125,8.94572e-10,0.1
0.87,0.125,2.35085e-10,0.1
0.88,0.125,5.96209e-11,0.1
0.89,0.125,1.46167e-11,0.1
0.9,0.125,3.46519e-12,0.1
0.91,0.125,7.94391e-13,0.1
0.92,0.125,1.76091e-13,0.1
0.93,0.125,3.77718e-14,0.1
0.94,0.125,7.79069e-15,0.1
0.95,0.125,1.58081e-15,0.1
0.96,0.125,2.691e-16,0.1
0.97,0.125,2.28916e-17,0.1
0.98,0.125,0,0.1
0.99,0.125,0,0.1
1,0.125,0,0.1
