x,rho,u,p
0,1,0,1
0.01,1,2.04088e-09,1
0.02,1,7.32564e-09,1
0.03,1,1.80305e-08,1
0.04,1,4.38794e-08,1
0.05,1,1.12804e-07,1
0.06,1,2.82208e-07,1
0.07,0.999999,6.87647e-07,0.999999
0.08,0.999999,1.63226e-06,0.999998
0.09,0.999997,3.77263e-06,0.999996
0.1,0.999993,8.48621e-06,0.99999
0.11,0.999984,1.85678e-05,0.999978
0.12,0.999967,3.94945e-05,0.999953
0.13,0.999931,8.16168e-05,0.999903
0.14,0.999862,0.000163762,0.999806
0.15,0.99973,0.000318825,0.999623
0.16,0.999491,0.000601868,0.999288
0.17,0.999069,0.00110093,0.998698
0.18,0.998351,0.00194995,0.997695
0.19,0.997174,0.00334201,0.996051
0.2,0.995316,0.00553922,0.993462
0.21,0.992499,0.00887429,0.989542
0.22,0.988397,0.013738,0.983847
0.23,0.982666,0.0205493,0.975918
0.24,0.97499,0.029708,0.965338
0.25,0.965126,0.0415398,0.951813
0.26,0.952955,0.0562458,0.935223
0.27,0.938497,0.0738731,0.915658
0.28,0.921914,0.0943154,0.893401
0.29,0.903473,0.117341,0.868881
0.3,0.883503,0.142639,0.842601
0.31,0.86235,0.169863,0.815075
0.32,0.840344,0.198668,0.786786
0.33,0.817783,0.228736,0.758152
0.34,0.794919,0.259781,0.729522
0.35,0.771963,0.291556,0.701179
0.36,0.749087,0.323846,0.673345
0.37,0.726431,0.356465,0.646192
0.38,0.704108,0.389248,0.619851
0.39,0.682211,0.42205,0.594424
0.4,0.660813,0.454735,0.569983
0.41,0.639977,0.487177,0.546585
0.42,0.619752,0.519254,0.52427
0.43,0.60018,0.550847,0.503066
0.44,0.581295,0.581838,0.482992
0.45,0.563123,0.612106,0.464063
0.46,0.545687,0.641528,0.446285
0.47,0.529003,0.669978,0.429665
0.48,0.513084,0.697324,0.414204
0.49,0.497937,0.723433,0.399904
0.5,0.483562,0.748166,0.386764
0.51,0.469947,0.771187,0.374807
0.52,0.457012,0.792599,0.363925
0.53,0.444709,0.812541,0.354042
0.54,0.433046,0.830703,0.345201
0.55,0.421981,0.847001,0.337366
0.56,0.411458,0.861385,0.33049
0.57,0.401413,0.873835,0.32451
0.58,0.391775,0.884362,0.319355
0.59,0.382474,0.893003,0.31494
0.6,0.373439,0.899816,0.311172
0.61,0.364607,0.904875,0.307951
0.62,0.355921,0.908259,0.305169
0.63,0.347337,0.910048,0.302716
0.64,0.338822,0.910304,0.300477
0.65,0.330353,0.909069,0.29834
0.66,0.321921,0.90635,0.29619
0.67,0.313527,0.902111,0.293918
0.68,0.305174,0.896269,0.291413
0.69,0.29687,0.888683,0.288569
0.7,0.28862,0.879155,0.285278
0.71,0.280423,0.867423,0.281436
0.72,0.272269,0.853163,0.276935
0.73,0.264136,0.83599,0.27167
0.74,0.255988,0.815456,0.265537
0.75,0.24778,0.791062,0.258441
0.76,0.239455,0.762264,0.250297
0.77,0.230952,0.728498,0.241044
0.78,0.222214,0.689214,0.230655
0.79,0.213196,0.643932,0.219155
0.8,0.20388,0.592337,0.206642
0.81,0.194293,0.534416,0.193305
0.82,0.184521,0.470651,0.179449
0.83,0.174732,0.40226,0.1655
0.84,0.165179,0.331425,0.151993
0.85,0.156193,0.261366,0.139524
0.86,0.14814,0.196046,0.128653
0.87,0.141343,0.139335,0.119774
0.88,0.135984,0.0938637,0.113013
0.89,0.13205,0.0602187,0.108207
0.9,0.129348,0.037078,0.104995
0.91,0.127596,0.0220946,0.102954
0.92,0.126511,0.0128341,0.101708
0.93,0.125861,0.00730537,0.10097
0.94,0.125482,0.00408895,0.100542
0.95,0.125266,0.00225466,0.100299
0.96,0.125145,0.00122475,0.100163
0.97,0.125079,0.000652109,0.100088
0.98,0.125044,0.000331541,0.100049
0.99,0.125028,0.000140218,0.100032
1,0.125028,0,0.100032
