x,rho,u,p
0,1,0,1
0.01,1,6.11916e-13,1
0.02,1,2.75853e-12,1
0.03,1,1.00315e-11,1
0.04,1,3.62042e-11,1
0.05,1,1.34821e-10,1
0.06,1,5.31076e-10,1
0.07,1,2.26013e-09,1
0.08,1,7.46875e-09,1
0.09,1,1.91575e-08,1
0.1,1,5.15357e-08,1
0.11,1,1.42651e-07,1
0.12,1,3.83462e-07,1
0.13,0.999999,1.00001e-06,0.999999
0.14,0.999998,2.52925e-06,0.999997
0.15,0.999995,6.20034e-06,0.999993
0.16,0.999988,1.47223e-05,0.999983
0.17,0.999971,3.38337e-05,0.99996
0.18,0.999936,7.51969e-05,0.999911
0.19,0.999863,0.000161497,0.999809
0.2,0.999717,0.000334863,0.999604
0.21,0.999433,0.000669749,0.999208
0.22,0.998908,0.0012909,0.998473
0.23,0.997973,0.00239556,0.997168
0.24,0.996381,0.00427618,0.994949
0.25,0.993791,0.00733644,0.991347
0.26,0.989772,0.0120895,0.985772
0.27,0.983834,0.019127,0.977564
0.28,0.975487,0.0290542,0.966081
0.29,0.96433,0.0423957,0.950825
0.3,0.950137,0.0594992,0.93156
0.31,0.932913,0.0804669,0.908388
0.32,0.912897,0.105144,0.88174
0.33,0.890504,0.133168,0.85228
0.34,0.866241,0.164049,0.820784
0.35,0.840632,0.197254,0.788022
0.36,0.814156,0.232272,0.754679
0.37,0.787224,0.268643,0.721324
0.38,0.760171,0.305969,0.688405
0.39,0.733269,0.34391,0.656265
0.4,0.70673,0.382172,0.625157
0.41,0.680721,0.420498,0.595269
0.42,0.655376,0.458658,0.566734
0.43,0.6308,0.496437,0.539647
0.44,0.607074,0.533631,0.514071
0.45,0.584262,0.570041,0.490046
0.46,0.56241,0.605475,0.467596
0.47,0.541552,0.639737,0.446728
0.48,0.521706,0.672636,0.427439
0.49,0.502884,0.703983,0.409722
0.5,0.485088,0.733596,0.393564
0.51,0.468321,0.760831,0.379023
0.52,0.452468,0.785871,0.36593
0.53,0.437463,0.808989,0.354152
0.54,0.423326,0.829577,0.343767
0.55,0.409976,0.847528,0.334687
0.56,0.397324,0.862767,0.326814
0.57,0.385276,0.875257,0.32003
0.58,0.373734,0.884999,0.314203
0.59,0.362602,0.892024,0.309181
0.6,0.351792,0.896385,0.304799
0.61,0.341225,0.89814,0.300882
0.62,0.330838,0.897335,0.297245
0.63,0.320581,0.893985,0.293701
0.64,0.310421,0.888052,0.290062
0.65,0.300337,0.87943,0.286145
0.66,0.290316,0.867931,0.281773
0.67,0.280347,0.853275,0.276777
0.68,0.270419,0.835089,0.270996
0.69,0.260513,0.812908,0.264285
0.7,0.2506,0.786185,0.256513
0.71,0.240641,0.754315,0.247577
0.72,0.230594,0.716666,0.237407
0.73,0.220417,0.672641,0.225989
0.74,0.210081,0.621768,0.213381
0.75,0.199591,0.563846,0.199744
0.76,0.189004,0.499148,0.185363
0.77,0.178453,0.428702,0.17067
0.78,0.168162,0.354591,0.156239
0.79,0.158455,0.280146,0.142744
0.8,0.149716,0.209757,0.130856
0.81,0.142311,0.148024,0.121092
0.82,0.136474,0.0983566,0.113663
0.83,0.132217,0.0618095,0.108429
0.84,0.129336,0.0370444,0.10499
0.85,0.127509,0.0213754,0.102857
0.86,0.126408,0.0119723,0.101593
0.87,0.125771,0.00654769,0.100869
0.88,0.125414,0.00350994,0.100465
0.89,0.125218,0.00184832,0.100245
0.9,0.125113,0.000957283,0.100127
0.91,0.125058,0.000487907,0.100065
0.92,0.125029,0.000244772,0.100032
0.93,0.125014,0.000120873,0.100016
0.94,0.125007,5.87503e-05,0.100008
0.95,0.125003,2.81022e-05,0.100004
0.96,0.125002,1.32226e-05,0.100002
0.97,0.125001,6.10395e-06,0.100001
0.98,0.125,2.71912e-06,0.1
0.99,0.125,1.04266e-06,0.1
1,0.125,0,0.1
