x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,2.78479e-17,1
0.05,1,1.72752e-16,1
0.06,1,1.11455e-15,1
0.07,1,5.39561e-15,1
0.08,1,2.55757e-14,1
0.09,1,1.17897e-13,1
0.1,1,5.3036e-13,1
0.11,1,2.35169e-12,1
0.12,1,1.03842e-11,1
0.13,1,4.64488e-11,1
0.14,1,2.14633e-10,1
0.15,1,1.0077e-09,1
0.16,1,4.32956e-09,1
0.17,1,1.40546e-08,1
0.18,1,4.28439e-08,1
0.19,1,1.39772e-07,1
0.2,1,4.36684e-07,0.999999
0.21,0.999999,1.31246e-06,0.999998
0.22,0.999997,3.7911e-06,0.999996
0.23,0.999991,1.05135e-05,0.999988
0.24,0.999976,2.79606e-05,0.999967
0.25,0.99994,7.12258e-05,0.999916
0.26,0.999853,0.000173563,0.999795
0.27,0.999658,0.000404016,0.999522
0.28,0.999239,0.000897071,0.998939
0.29,0.99839,0.00189704,0.997757
0.3,0.99676,0.0038148,0.995492
0.31,0.993809,0.00728383,0.991406
0.32,0.988788,0.0131873,0.98448
0.33,0.98078,0.0226159,0.973498
0.34,0.968841,0.0367235,0.95725
0.35,0.95223,0.056485,0.934862
0.36,0.930645,0.0824327,0.906124
0.37,0.904353,0.114493,0.871633
0.38,0.874119,0.152023,0.832657
0.39,0.840987,0.194015,0.790788
0.4,0.806029,0.239355,0.747577
0.41,0.770185,0.287002,0.704319
0.42,0.734207,0.336065,0.661989
0.43,0.698666,0.3858,0.621275
0.44,0.663987,0.435579,0.582638
0.45,0.630485,0.484852,0.546379
0.46,0.598392,0.533112,0.512683
0.47,0.567874,0.579866,0.481659
0.48,0.539045,0.624625,0.453356
0.49,0.511961,0.666888,0.427774
0.5,0.486616,0.705851,0.404902
0.51,0.462846,0.741474,0.384466
0.52,0.440556,0.773758,0.366261
0.53,0.41977,0.801869,0.350309
0.54,0.40039,0.825365,0.336463
0.55,0.382273,0.843899,0.324515
0.56,0.365253,0.857218,0.314204
0.57,0.349148,0.865155,0.305218
0.58,0.33378,0.867608,0.297206
0.59,0.318984,0.8645,0.289786
0.6,0.304623,0.855743,0.282564
0.61,0.290583,0.841185,0.275146
0.62,0.276786,0.820567,0.26716
0.63,0.263176,0.793505,0.258276
0.64,0.249718,0.759478,0.248225
0.65,0.236395,0.717878,0.236821
0.66,0.223201,0.668097,0.223982
0.67,0.210151,0.609689,0.209767
0.68,0.197292,0.542633,0.194405
0.69,0.184735,0.467701,0.178331
0.7,0.172673,0.386927,0.1622
0.71,0.161415,0.304025,0.146855
0.72,0.15136,0.224403,0.133209
0.73,0.142929,0.154223,0.122022
0.74,0.136406,0.0983809,0.113657
0.75,0.1318,0.0585186,0.107963
0.76,0.128827,0.0327979,0.104407
0.77,0.127054,0.0175299,0.102338
0.78,0.126061,0.00902465,0.101199
0.79,0.125531,0.00450551,0.100597
0.8,0.125258,0.00219013,0.10029
0.81,0.125123,0.00103882,0.100137
0.82,0.125057,0.000481296,0.100064
0.83,0.125026,0.000217907,0.100029
0.84,0.125011,9.64211e-05,0.100013
0.85,0.125005,4.16981e-05,0.100006
0.86,0.125002,1.76229e-05,0.100002
0.87,0.125001,7.27831e-06,0.100001
0.88,0.125,2.93724e-06,0.1
0.89,0.125,1.1583e-06,0.1
0.9,0.125,4.48374e-07,0.1
0.91,0.125,1.61215e-07,0.1
0.92,0.125,5.61517e-08,0.1
0.93,0.125,2.18052e-08,0.1
0.94,0.125,8.29545e-09,0.1
0.95,0.125,2.88519e-09,0.1
0.96,0.125,9.75148e-10,0.1
0.97,0.125,3.21312e-10,0.1
0.98,0.125,1.02876e-10,0.1
0.99,0.125,3.00299e-11,0.1
1,0.125,0,0.1
