x,rho,u,p
0,1,0,1
0.01,1,3.48077e-11,1
0.02,1,1.522e-10,1
0.03,1,5.87431e-10,1
0.04,1,2.37106e-09,1
0.05,1,7.45907e-09,1
0.06,1,1.8512e-08,1
0.07,1,4.68657e-08,1
0.08,1,1.25071e-07,1
0.09,1,3.23761e-07,1
0.1,0.999999,8.14897e-07,0.999999
0.11,0.999998,1.99408e-06,0.999998
0.12,0.999996,4.74134e-06,0.999994
0.13,0.999991,1.09476e-05,0.999987
0.14,0.999979,2.45312e-05,0.999971
0.15,0.999955,5.33108e-05,0.999937
0.16,0.999905,0.00011228,0.999867
0.17,0.999806,0.00022901,0.999729
0.18,0.999618,0.000452007,0.999465
0.19,0.99927,0.00086263,0.99898
0.2,0.998655,0.00159054,0.998119
0.21,0.997605,0.00283115,0.996654
0.22,0.995888,0.00486133,0.99426
0.23,0.993194,0.00804712,0.990512
0.24,0.989151,0.0128355,0.984901
0.25,0.983348,0.0197232,0.976874
0.26,0.975392,0.0292014,0.965917
0.27,0.964971,0.0416838,0.951642
0.28,0.951916,0.0574366,0.933879
0.29,0.936241,0.0765338,0.912718
0.3,0.918137,0.0988519,0.888501
0.31,0.89793,0.124106,0.861754
0.32,0.876026,0.151911,0.833097
0.33,0.852848,0.181841,0.803156
0.34,0.828793,0.213478,0.772505
0.35,0.80421,0.246439,0.741633
0.36,0.779391,0.280389,0.71094
0.37,0.754576,0.315037,0.680738
0.38,0.729956,0.350135,0.651268
0.39,0.705687,0.385464,0.622712
0.4,0.681891,0.420832,0.595206
0.41,0.658668,0.456063,0.568849
0.42,0.636095,0.490996,0.543713
0.43,0.614239,0.525473,0.519848
0.44,0.593149,0.559343,0.497289
0.45,0.572865,0.592455,0.476058
0.46,0.553418,0.624658,0.456165
0.47,0.534831,0.6558,0.437617
0.48,0.517117,0.685728,0.420413
0.49,0.500287,0.714293,0.40455
0.5,0.484347,0.741345,0.390026
0.51,0.469302,0.766238,0.376917
0.52,0.455028,0.789254,0.365041
0.53,0.441462,0.810758,0.354266
0.54,0.428648,0.830137,0.344703
0.55,0.416522,0.847305,0.336293
0.56,0.40501,0.862209,0.328961
0.57,0.394033,0.874829,0.322622
0.58,0.383507,0.885173,0.317176
0.59,0.373352,0.893281,0.312512
0.6,0.363488,0.899212,0.308508
0.61,0.353846,0.903039,0.30503
0.62,0.344366,0.904834,0.301938
0.63,0.335001,0.904656,0.29909
0.64,0.325719,0.902534,0.296339
0.65,0.316501,0.898459,0.29354
0.66,0.307336,0.892365,0.29055
0.67,0.298223,0.884122,0.287229
0.68,0.28916,0.873529,0.283441
0.69,0.280144,0.86031,0.279055
0.7,0.271165,0.844111,0.273941
0.71,0.262203,0.824501,0.267978
0.72,0.253224,0.800981,0.261049
0.73,0.244186,0.772996,0.253056
0.74,0.235036,0.739953,0.243919
0.75,0.225722,0.701259,0.233596
0.76,0.216196,0.656379,0.222097
0.77,0.206436,0.604927,0.209504
0.78,0.196454,0.546813,0.195996
0.79,0.186326,0.482435,0.181875
0.8,0.176202,0.412948,0.167573
0.81,0.166327,0.340518,0.153647
0.82,0.157031,0.268452,0.140731
0.83,0.14869,0.200926,0.129432
0.84,0.141646,0.142134,0.120196
0.85,0.136103,0.095015,0.113179
0.86,0.132052,0.0603074,0.108219
0.87,0.129293,0.0366387,0.104934
0.88,0.127524,0.0214953,0.102873
0.89,0.126444,0.012271,0.101633
0.9,0.125808,0.0068541,0.10091
0.91,0.125443,0.00375939,0.100498
0.92,0.125239,0.00202913,0.100269
0.93,0.125127,0.00107903,0.100143
0.94,0.125067,0.000565623,0.100075
0.95,0.125035,0.000292307,0.100039
0.96,0.125018,0.000148828,0.10002
0.97,0.125009,7.43627e-05,0.10001
0.98,0.125005,3.56875e-05,0.100005
0.99,0.125003,1.44811e-05,0.100003
1,0.125003,0,0.100003
