x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,0,1
0.14,1,0,1
0.15,1,0,1
0.16,1,0,1
0.17,1,0,1
0.18,1,1.75745e-17,1
0.19,1,1.40718e-16,1
0.2,1,1.38981e-15,1
0.21,1,1.14721e-14,1
0.22,1,9.1037e-14,1
0.23,1,7.03647e-13,1
0.24,1,5.27546e-12,1
0.25,1,3.69997e-11,1
0.26,1,2.52578e-10,1
0.27,1,1.74172e-09,1
0.28,1,9.27357e-09,1
0.29,1,4.22868e-08,1
0.3,1,1.9788e-07,1
0.31,0.999999,8.71697e-07,0.999999
0.32,0.999997,3.59741e-06,0.999996
0.33,0.999988,1.38785e-05,0.999984
0.34,0.999957,4.99266e-05,0.999941
0.35,0.999855,0.000167004,0.999802
0.36,0.99955,0.000517788,0.999386
0.37,0.998706,0.00148283,0.998241
0.38,0.996574,0.00390766,0.995364
0.39,0.991684,0.00943922,0.988815
0.4,0.981572,0.0208209,0.975417
0.41,0.962913,0.0417972,0.951044
0.42,0.932485,0.0761898,0.912041
0.43,0.888945,0.126126,0.857577
0.44,0.83416,0.19047,0.791109
0.45,0.77251,0.265083,0.718996
0.46,0.708676,0.34488,0.647332
0.47,0.646095,0.425541,0.580083
0.48,0.586841,0.503779,0.519237
0.49,0.532043,0.576959,0.465559
0.5,0.482251,0.640701,0.419418
0.51,0.437108,0.694189,0.379793
0.52,0.396304,0.737275,0.345695
0.53,0.359919,0.765461,0.317042
0.54,0.327397,0.776812,0.292769
0.55,0.298141,0.769846,0.271663
0.56,0.271574,0.743666,0.252429
0.57,0.247214,0.698041,0.233826
0.58,0.224734,0.633464,0.214875
0.59,0.204001,0.551409,0.19509
0.6,0.185093,0.454963,0.174682
0.61,0.168289,0.349923,0.154634
0.62,0.154031,0.245719,0.136522
0.63,0.142801,0.154405,0.12197
0.64,0.134856,0.0859779,0.111837
0.65,0.129927,0.0427515,0.105766
0.66,0.127251,0.0193692,0.102584
0.67,0.125955,0.00816146,0.101083
0.68,0.125381,0.00324302,0.10043
0.69,0.125144,0.00122431,0.100162
0.7,0.125052,0.000440642,0.100058
0.71,0.125018,0.000151412,0.10002
0.72,0.125006,4.97005e-05,0.100007
0.73,0.125002,1.55878e-05,0.100002
0.74,0.125001,4.67191e-06,0.100001
0.75,0.125,1.33894e-06,0.1
0.76,0.125,3.65573e-07,0.1
0.77,0.125,9.04401e-08,0.1
0.78,0.125,2.28019e-08,0.1
0.79,0.125,6.35268e-09,0.1
0.8,0.125,1.51845e-09,0.1
0.81,0.125,3.3544e-10,0.1
0.82,0.125,7.06235e-11,0.1
0.83,0.125,1.42114e-11,0.1
0.84,0.125,2.73451e-12,0.1
0.85,0.125,5.03193e-13,0.1
0.86,0.125,8.8589e-14,0.1
0.87,0.125,1.48618e-14,0.1
0.88,0.125,2.37393e-15,0.1
0.89,0.125,3.28145e-16,0.1
0.9,0.125,2.92777e-17,0.1
0.91,0.125,0,0.1
0.92,0.125,0,0.1
0.93,0.125,0,0.1
0.94,0.125,0,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,0,0.1
0.99,0.125,0,0.1
1,0.125,0,0.1
