x,rho,u,p
0,1,0,1
0.01,1,3.47671e-16,1
0.02,1,1.97032e-15,1
0.03,1,8.61655e-15,1
0.04,1,3.64889e-14,1
0.05,1,1.5112e-13,1
0.06,1,6.13181e-13,1
0.07,1,2.45211e-12,1
0.08,1,9.76946e-12,1
0.09,1,3.92647e-11,1
0.1,1,1.62594e-10,1
0.11,1,7.16981e-10,1
0.12,1,3.07578e-09,1
0.13,1,9.83911e-09,1
0.14,1,2.74379e-08,1
0.15,1,8.24746e-08,1
0.16,1,2.43396e-07,1
0.17,0.999999,6.94569e-07,0.999999
0.18,0.999998,1.91404e-06,0.999998
0.19,0.999996,5.09033e-06,0.999994
0.2,0.999989,1.30538e-05,0.999985
0.21,0.999973,3.22496e-05,0.999962
0.22,0.999935,7.66788e-05,0.999909
0.23,0.999852,0.000175279,0.999793
0.24,0.999674,0.000384769,0.999545
0.25,0.999314,0.00081017,0.999042
0.26,0.998616,0.00163429,0.998067
0.27,0.997327,0.00315448,0.996272
0.28,0.995067,0.00581909,0.993131
0.29,0.991311,0.0102483,0.987926
0.3,0.98541,0.0172171,0.979781
0.31,0.976658,0.0275805,0.967769
0.32,0.964429,0.0421372,0.951099
0.33,0.948321,0.0614615,0.929336
0.34,0.928283,0.0857642,0.902557
0.35,0.90464,0.114846,0.871363
0.36,0.878002,0.148169,0.836739
0.37,0.849124,0.184996,0.799828
0.38,0.818761,0.224545,0.76173
0.39,0.787581,0.266082,0.723379
0.4,0.756133,0.30897,0.685507
0.41,0.724849,0.352668,0.648661
0.42,0.694059,0.396719,0.61323
0.43,0.664021,0.440724,0.579487
0.44,0.634929,0.484324,0.547618
0.45,0.606932,0.527183,0.517743
0.46,0.580141,0.568976,0.489938
0.47,0.554634,0.609384,0.464241
0.48,0.530453,0.648097,0.440655
0.49,0.507611,0.684821,0.419154
0.5,0.486093,0.719289,0.39969
0.51,0.465874,0.751005,0.38224
0.52,0.446879,0.779835,0.366684
0.53,0.429037,0.805689,0.352903
0.54,0.4123,0.828095,0.340855
0.55,0.396562,0.846858,0.330403
0.56,0.381704,0.861829,0.321382
0.57,0.367596,0.872919,0.313599
0.58,0.354109,0.880086,0.306831
0.59,0.341115,0.883327,0.300827
0.6,0.328499,0.882647,0.295319
0.61,0.316167,0.878032,0.290025
0.62,0.304043,0.869413,0.284661
0.63,0.292071,0.856638,0.278951
0.64,0.280214,0.839445,0.272633
0.65,0.268442,0.817453,0.265468
0.66,0.256733,0.790159,0.257251
0.67,0.245065,0.756961,0.247819
0.68,0.233412,0.717202,0.237062
0.69,0.221754,0.670248,0.224947
0.7,0.210083,0.615616,0.211542
0.71,0.198423,0.553168,0.197043
0.72,0.186851,0.48339,0.181807
0.73,0.175529,0.407752,0.166371
0.74,0.164722,0.329075,0.151439
0.75,0.154792,0.251668,0.137802
0.76,0.14615,0.180839,0.126191
0.77,0.139139,0.12152,0.117074
0.78,0.133898,0.076476,0.110503
0.79,0.130298,0.0454114,0.106141
0.8,0.12801,0.0257117,0.103443
0.81,0.126647,0.0140215,0.101867
0.82,0.125873,0.00742142,0.100985
0.83,0.125452,0.00383157,0.100508
0.84,0.125228,0.00193525,0.100256
0.85,0.125113,0.000957727,0.100127
0.86,0.125055,0.000464747,0.100061
0.87,0.125026,0.000221202,0.100029
0.88,0.125012,0.000103274,0.100014
0.89,0.125006,4.72933e-05,0.100006
0.9,0.125003,2.12414e-05,0.100003
0.91,0.125001,9.35636e-06,0.100001
0.92,0.125,4.04141e-06,0.100001
0.93,0.125,1.71162e-06,0.1
0.94,0.125,7.10793e-07,0.1
0.95,0.125,2.89031e-07,0.1
0.96,0.125,1.07884e-07,0.1
0.97,0.125,4.12282e-08,0.1
0.98,0.125,1.73132e-08,0.1
0.99,0.125,6.08489e-09,0.1
1,0.125,0,0.1
