x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,0,1
0.14,1,0,1
0.15,1,0,1
0.16,1,0,1
0.17,1,0,1
0.18,1,0,1
0.19,1,1.76544e-17,1
0.2,1,1.94376e-16,1
0.21,1,1.86134e-15,1
0.22,1,1.60537e-14,1
0.23,1,1.31738e-13,1
0.24,1,1.04347e-12,1
0.25,1,8.05096e-12,1
0.26,1,6.13753e-11,1
0.27,1,4.50373e-10,1
0.28,1,2.92395e-09,1
0.29,1,1.5133e-08,1
0.3,1,7.12111e-08,1
0.31,1,3.40092e-07,1
0.32,0.999999,1.51141e-06,0.999998
0.33,0.999995,6.27093e-06,0.999993
0.34,0.999979,2.42294e-05,0.999971
0.35,0.999924,8.69342e-05,0.999897
0.36,0.999748,0.000288734,0.999657
0.37,0.999226,0.000884566,0.99895
0.38,0.99781,0.00249003,0.997043
0.39,0.994329,0.00641414,0.992385
0.4,0.986615,0.0150566,0.982163
0.41,0.971362,0.0320826,0.962212
0.42,0.944739,0.0618577,0.927996
0.43,0.904143,0.107769,0.877002
0.44,0.850236,0.170051,0.811236
0.45,0.787198,0.245051,0.737029
0.46,0.720487,0.32707,0.661665
0.47,0.654459,0.410851,0.590321
0.48,0.591777,0.492404,0.525663
0.49,0.533861,0.568626,0.46872
0.5,0.481378,0.634792,0.419919
0.51,0.434,0.68976,0.378197
0.52,0.391393,0.733096,0.342484
0.53,0.353593,0.760005,0.31259
0.54,0.319986,0.768331,0.287315
0.55,0.289913,0.756478,0.265306
0.56,0.262752,0.7236,0.245143
0.57,0.238,0.66972,0.225524
0.58,0.21534,0.595884,0.205514
0.59,0.194687,0.504572,0.184821
0.6,0.176193,0.400595,0.163986
0.61,0.160226,0.29227,0.144367
0.62,0.147272,0.191594,0.127737
0.63,0.137723,0.110992,0.115462
0.64,0.131524,0.0568188,0.107713
0.65,0.128028,0.026152,0.1035
0.66,0.126292,0.0110725,0.101472
0.67,0.125515,0.00438857,0.100582
0.68,0.125194,0.00164464,0.100218
0.69,0.125069,0.000585538,0.100077
0.7,0.125023,0.000198451,0.100026
0.71,0.125008,6.40788e-05,0.100008
0.72,0.125002,1.97186e-05,0.100003
0.73,0.125001,5.78372e-06,0.100001
0.74,0.125,1.61676e-06,0.1
0.75,0.125,4.31593e-07,0.1
0.76,0.125,1.04144e-07,0.1
0.77,0.125,2.50636e-08,0.1
0.78,0.125,6.7703e-09,0.1
0.79,0.125,1.57358e-09,0.1
0.8,0.125,3.34237e-10,0.1
0.81,0.125,6.74586e-11,0.1
0.82,0.125,1.29807e-11,0.1
0.83,0.125,2.3828e-12,0.1
0.84,0.125,4.17156e-13,0.1
0.85,0.125,6.95741e-14,0.1
0.86,0.125,1.10939e-14,0.1
0.87,0.125,1.66029e-15,0.1
0.88,0.125,2.05987e-16,0.1
0.89,0.125,1.17649e-17,0.1
0.9,0.125,0,0.1
0.91,0.125,0,0.1
0.92,0.125,0,0.1
0.93,0.125,0,0.1
0.94,0.125,0,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,0,0.1
0.99,0.125,0,0.1
1,0.125,0,0.1
