x,rho,u,p
0,1,0,1
0.01,1,1.16041e-16,1
0.02,1,7.45962e-16,1
0.03,1,3.55372e-15,1
0.04,1,1.54654e-14,1
0.05,1,6.59003e-14,1
0.06,1,2.74123e-13,1
0.07,1,1.11847e-12,1
0.08,1,4.50575e-12,1
0.09,1,1.82027e-11,1
0.1,1,7.54844e-11,1
0.11,1,3.23164e-10,1
0.12,1,1.422e-09,1
0.13,1,5.61327e-09,1
0.14,1,1.65351e-08,1
0.15,1,4.695e-08,1
0.16,1,1.43403e-07,1
0.17,1,4.20184e-07,1
0.18,0.999999,1.18851e-06,0.999999
0.19,0.999997,3.24385e-06,0.999996
0.2,0.999993,8.53564e-06,0.99999
0.21,0.999982,2.16339e-05,0.999974
0.22,0.999955,5.27625e-05,0.999938
0.23,0.999895,0.000123693,0.999854
0.24,0.999764,0.000278427,0.999671
0.25,0.999491,0.000601036,0.999289
0.26,0.998947,0.00124273,0.99853
0.27,0.997917,0.00245805,0.997094
0.28,0.996062,0.00464515,0.994514
0.29,0.992896,0.00837718,0.990122
0.3,0.987787,0.0144034,0.983063
0.31,0.980012,0.0235955,0.972372
0.32,0.968867,0.0368264,0.957151
0.33,0.953833,0.0547979,0.936789
0.34,0.934723,0.0778725,0.911174
0.35,0.911747,0.105983,0.880762
0.36,0.885463,0.138666,0.846477
0.37,0.856631,0.175199,0.80949
0.38,0.826054,0.214761,0.770982
0.39,0.794464,0.256563,0.731985
0.4,0.762468,0.299907,0.693324
0.41,0.730549,0.344201,0.655613
0.42,0.699078,0.388947,0.619295
0.43,0.668338,0.433713,0.584679
0.44,0.638546,0.478114,0.551974
0.45,0.609866,0.521793,0.521317
0.46,0.582422,0.564403,0.492794
0.47,0.5563,0.605605,0.46645
0.48,0.53155,0.645065,0.442292
0.49,0.508184,0.682467,0.420295
0.5,0.486185,0.717532,0.400402
0.51,0.46552,0.7498,0.382573
0.52,0.446117,0.77909,0.366693
0.53,0.427909,0.805249,0.35265
0.54,0.410838,0.827831,0.340382
0.55,0.394796,0.846624,0.329745
0.56,0.379659,0.861466,0.320568
0.57,0.365294,0.872259,0.312643
0.58,0.351564,0.878954,0.305735
0.59,0.338338,0.88154,0.299577
0.6,0.325498,0.880013,0.293885
0.61,0.312945,0.874344,0.288363
0.62,0.300604,0.864445,0.282715
0.63,0.288417,0.850135,0.276653
0.64,0.276347,0.831117,0.26991
0.65,0.264365,0.806973,0.262246
0.66,0.252448,0.777161,0.253458
0.67,0.240573,0.741054,0.243397
0.68,0.228719,0.697993,0.231977
0.69,0.216871,0.647388,0.2192
0.7,0.205036,0.58888,0.205189
0.71,0.193259,0.522577,0.190211
0.72,0.181655,0.449381,0.174712
0.73,0.170433,0.371384,0.159318
0.74,0.159907,0.29217,0.144803
0.75,0.150474,0.216718,0.131969
0.76,0.142533,0.150475,0.121456
0.77,0.136346,0.0976053,0.113548
0.78,0.131919,0.0594204,0.108091
0.79,0.129005,0.0342768,0.10461
0.8,0.127221,0.0189396,0.102528
0.81,0.126189,0.010116,0.101345
0.82,0.125619,0.00525629,0.100697
0.83,0.125315,0.00266736,0.100353
0.84,0.125156,0.00132482,0.100175
0.85,0.125076,0.000644728,0.100085
0.86,0.125036,0.000307577,0.100041
0.87,0.125017,0.000143865,0.100019
0.88,0.125008,6.59756e-05,0.100009
0.89,0.125004,2.96625e-05,0.100004
0.9,0.125002,1.30735e-05,0.100002
0.91,0.125001,5.64814e-06,0.100001
0.92,0.125,2.39183e-06,0.1
0.93,0.125,9.92415e-07,0.1
0.94,0.125,4.05153e-07,0.1
0.95,0.125,1.53993e-07,0.1
0.96,0.125,5.7047e-08,0.1
0.97,0.125,2.34708e-08,0.1
0.98,0.125,9.38291e-09,0.1
0.99,0.125,3.14161e-09,0.1
1,0.125,0,0.1
