x,rho,u,p
0,1,0,1
0.01,1,1.27118e-10,1
0.02,1,5.53558e-10,1
0.03,1,2.20526e-09,1
0.04,1,7.16416e-09,1
0.05,1,1.77296e-08,1
0.06,1,4.32726e-08,1
0.07,1,1.1482e-07,1
0.08,1,2.94318e-07,1
0.09,0.999999,7.3405e-07,0.999999
0.1,0.999998,1.7812e-06,0.999998
0.11,0.999996,4.20275e-06,0.999995
0.12,0.999992,9.63706e-06,0.999989
0.13,0.999982,2.14627e-05,0.999975
0.14,0.999961,4.6396e-05,0.999945
0.15,0.999918,9.72836e-05,0.999885
0.16,0.999833,0.000197724,0.999766
0.17,0.999671,0.000389243,0.99954
0.18,0.999373,0.000741649,0.999123
0.19,0.998844,0.00136665,0.998384
0.2,0.997941,0.00243372,0.997123
0.21,0.99646,0.00418525,0.995057
0.22,0.994126,0.00694597,0.991807
0.23,0.990601,0.0111196,0.986909
0.24,0.985504,0.0171662,0.979848
0.25,0.978453,0.0255572,0.970119
0.26,0.969124,0.0367122,0.957309
0.27,0.957309,0.0509331,0.941182
0.28,0.942961,0.0683534,0.921738
0.29,0.926201,0.0889211,0.899216
0.3,0.907295,0.11242,0.874055
0.31,0.886602,0.138518,0.846811
0.32,0.864517,0.166825,0.818077
0.33,0.841426,0.196943,0.788418
0.34,0.817678,0.228496,0.758329
0.35,0.793572,0.261151,0.728225
0.36,0.769356,0.294616,0.698436
0.37,0.74523,0.328639,0.669222
0.38,0.721358,0.363004,0.640781
0.39,0.697868,0.397519,0.613263
0.4,0.674867,0.432014,0.586781
0.41,0.652437,0.466332,0.561415
0.42,0.630649,0.500324,0.537226
0.43,0.609556,0.533848,0.514256
0.44,0.589204,0.566765,0.492533
0.45,0.569627,0.598934,0.472075
0.46,0.550853,0.630216,0.452893
0.47,0.532902,0.660467,0.434991
0.48,0.515788,0.689544,0.418369
0.49,0.49952,0.717299,0.403028
0.5,0.484103,0.743585,0.388969
0.51,0.46954,0.767846,0.37625
0.52,0.455712,0.79032,0.364709
0.53,0.442562,0.811314,0.354228
0.54,0.430127,0.830306,0.344902
0.55,0.418351,0.847206,0.336681
0.56,0.407166,0.861961,0.3295
0.57,0.396497,0.874552,0.323282
0.58,0.386265,0.884991,0.317936
0.59,0.376391,0.893314,0.31336
0.6,0.366801,0.899583,0.309442
0.61,0.357426,0.903872,0.30606
0.62,0.348208,0.906256,0.303087
0.63,0.3391,0.906803,0.300389
0.64,0.330071,0.905557,0.297833
0.65,0.321101,0.902526,0.295283
0.66,0.312179,0.897674,0.292607
0.67,0.303305,0.890905,0.289675
0.68,0.294481,0.882062,0.286359
0.69,0.285707,0.870917,0.282534
0.7,0.276978,0.857169,0.278079
0.71,0.268281,0.840447,0.272875
0.72,0.25959,0.82031,0.266805
0.73,0.250868,0.796251,0.259764
0.74,0.242065,0.767717,0.251657
0.75,0.233127,0.73412,0.242413
0.76,0.223997,0.694885,0.231999
0.77,0.214632,0.649499,0.220433
0.78,0.205011,0.597613,0.207807
0.79,0.195153,0.539185,0.194311
0.8,0.185142,0.474677,0.180254
0.81,0.175138,0.405316,0.166074
0.82,0.165395,0.333339,0.152328
0.83,0.156247,0.262084,0.139638
0.84,0.148068,0.195685,0.128589
0.85,0.141188,0.138191,0.119598
0.86,0.135794,0.0923275,0.112789
0.87,0.131862,0.0586512,0.107987
0.88,0.129186,0.0357125,0.104808
0.89,0.12747,0.0210244,0.10281
0.9,0.126419,0.0120553,0.101604
0.91,0.125798,0.00676862,0.100898
0.92,0.12544,0.00373418,0.100495
0.93,0.125239,0.0020284,0.100269
0.94,0.125128,0.00108607,0.100144
0.95,0.125068,0.00057343,0.100076
0.96,0.125035,0.000298369,0.10004
0.97,0.125018,0.000152328,0.100021
0.98,0.12501,7.45659e-05,0.100011
0.99,0.125006,3.06965e-05,0.100007
1,0.125006,0,0.100007
