x,rho,u,p
0,1,0,1
0.01,1,2.32145e-12,1
0.02,1,1.02162e-11,1
0.03,1,3.70542e-11,1
0.04,1,1.36413e-10,1
0.05,1,5.30247e-10,1
0.06,1,2.22545e-09,1
0.07,1,7.29941e-09,1
0.08,1,1.86548e-08,1
0.09,1,4.86204e-08,1
0.1,1,1.33355e-07,1
0.11,1,3.54178e-07,1
0.12,0.999999,9.13249e-07,0.999999
0.13,0.999998,2.28581e-06,0.999997
0.14,0.999995,5.55016e-06,0.999993
0.15,0.999989,1.30647e-05,0.999985
0.16,0.999975,2.97934e-05,0.999965
0.17,0.999944,6.57724e-05,0.999922
0.18,0.999881,0.000140453,0.999834
0.19,0.999755,0.000289884,0.999657
0.2,0.999511,0.000577763,0.999317
0.21,0.99906,0.00111103,0.998686
0.22,0.998257,0.0020595,0.997565
0.23,0.996888,0.00367692,0.995656
0.24,0.994654,0.00631747,0.992545
0.25,0.991169,0.0104388,0.987706
0.26,0.985985,0.0165812,0.980528
0.27,0.978634,0.0253163,0.970394
0.28,0.968708,0.0371674,0.956782
0.29,0.955936,0.0525204,0.939385
0.3,0.94025,0.0715506,0.918189
0.31,0.921798,0.0941951,0.893491
0.32,0.900915,0.120179,0.865843
0.33,0.87805,0.149083,0.835941
0.34,0.853691,0.180419,0.804515
0.35,0.828307,0.213699,0.772241
0.36,0.802309,0.248472,0.7397
0.37,0.776042,0.284342,0.707361
0.38,0.749788,0.320968,0.675591
0.39,0.723768,0.358058,0.644668
0.4,0.698161,0.395357,0.614797
0.41,0.673108,0.432642,0.586129
0.42,0.648719,0.469706,0.558775
0.43,0.625084,0.506358,0.532809
0.44,0.602271,0.542413,0.508285
0.45,0.580337,0.577692,0.485234
0.46,0.55932,0.612015,0.463675
0.47,0.539248,0.645206,0.443614
0.48,0.520141,0.677085,0.425049
0.49,0.502008,0.707479,0.407975
0.5,0.484853,0.73622,0.392382
0.51,0.468681,0.762651,0.378337
0.52,0.453372,0.786999,0.365666
0.53,0.438862,0.80958,0.354233
0.54,0.425179,0.829773,0.344131
0.55,0.412248,0.847481,0.335283
0.56,0.399986,0.862638,0.327598
0.57,0.388304,0.875214,0.320971
0.58,0.37711,0.885213,0.315281
0.59,0.366311,0.89267,0.310391
0.6,0.355825,0.89764,0.306153
0.61,0.345574,0.90019,0.302405
0.62,0.335496,0.900376,0.29898
0.63,0.325544,0.89823,0.295705
0.64,0.315685,0.893743,0.292408
0.65,0.305898,0.886845,0.288919
0.66,0.296173,0.877394,0.28507
0.67,0.286501,0.865167,0.280703
0.68,0.276875,0.849853,0.275664
0.69,0.267281,0.831053,0.269808
0.7,0.257697,0.808282,0.263001
0.71,0.248088,0.780987,0.255127
0.72,0.238412,0.748562,0.24609
0.73,0.228621,0.710387,0.235834
0.74,0.218672,0.665888,0.224354
0.75,0.208537,0.614626,0.211719
0.76,0.198225,0.556446,0.1981
0.77,0.1878,0.491682,0.183791
0.78,0.177403,0.421428,0.169229
0.79,0.167269,0.34783,0.154986
0.8,0.157725,0.274243,0.141722
0.81,0.149154,0.205003,0.130086
0.82,0.141912,0.144559,0.120563
0.83,0.136218,0.096106,0.113336
0.84,0.13207,0.0605206,0.108248
0.85,0.129263,0.0364017,0.104902
0.86,0.127478,0.0211066,0.102821
0.87,0.126399,0.0118914,0.101582
0.88,0.125771,0.00654718,0.100869
0.89,0.125417,0.00353576,0.100469
0.9,0.125221,0.00187697,0.100249
0.91,0.125116,0.000980585,0.10013
0.92,0.12506,0.000504439,0.100067
0.93,0.12503,0.000255577,0.100034
0.94,0.125015,0.000127537,0.100017
0.95,0.125007,6.26743e-05,0.100008
0.96,0.125004,3.03141e-05,0.100004
0.97,0.125002,1.4388e-05,0.100002
0.98,0.125001,6.58149e-06,0.100001
0.99,0.125,2.57664e-06,0.100001
1,0.125,0,0.100001
