x,rho,u,p
0,1,0,1
0.01,1,5.34619e-08,1
0.02,1,1.80786e-07,1
0.03,1,4.52332e-07,0.999999
0.04,0.999999,1.05586e-06,0.999999
0.05,0.999998,2.38416e-06,0.999997
0.06,0.999996,5.24261e-06,0.999994
0.07,0.999991,1.12377e-05,0.999987
0.08,0.99998,2.3477e-05,0.999972
0.09,0.99996,4.77808e-05,0.999943
0.1,0.99992,9.46867e-05,0.999888
0.11,0.999846,0.000182605,0.999784
0.12,0.99971,0.000342512,0.999595
0.13,0.999472,0.000624497,0.999261
0.14,0.999065,0.00110616,0.998692
0.15,0.998392,0.00190236,0.997751
0.16,0.997316,0.00317474,0.996249
0.17,0.995656,0.0051387,0.993934
0.18,0.993186,0.00806407,0.990494
0.19,0.989643,0.0122661,0.985569
0.2,0.984748,0.0180838,0.978784
0.21,0.978238,0.0258475,0.969789
0.22,0.969899,0.035838,0.958316
0.23,0.959602,0.0482494,0.944222
0.24,0.947326,0.063163,0.927516
0.25,0.933154,0.0805411,0.908365
0.26,0.917266,0.100241,0.88706
0.27,0.899902,0.122042,0.863978
0.28,0.881332,0.145681,0.839526
0.29,0.861832,0.170882,0.814109
0.3,0.841655,0.197377,0.788095
0.31,0.821031,0.224918,0.761806
0.32,0.800153,0.253288,0.735512
0.33,0.779188,0.282293,0.709434
0.34,0.758271,0.311766,0.683747
0.35,0.737513,0.341562,0.658591
0.36,0.717007,0.371552,0.634076
0.37,0.696827,0.40162,0.610287
0.38,0.677037,0.431662,0.587288
0.39,0.657687,0.46158,0.565129
0.4,0.638821,0.49128,0.543848
0.41,0.620476,0.520672,0.523472
0.42,0.602682,0.549666,0.504025
0.43,0.585466,0.57817,0.48552
0.44,0.56885,0.606091,0.467969
0.45,0.552852,0.633334,0.451382
0.46,0.53749,0.659798,0.435764
0.47,0.522773,0.685381,0.42112
0.48,0.508709,0.709977,0.407451
0.49,0.495298,0.733482,0.394755
0.5,0.482531,0.755798,0.383023
0.51,0.470391,0.776847,0.372239
0.52,0.458855,0.796505,0.362391
0.53,0.447889,0.814737,0.353447
0.54,0.437463,0.831514,0.345378
0.55,0.427546,0.846733,0.33817
0.56,0.418093,0.860359,0.331787
0.57,0.409055,0.87238,0.326188
0.58,0.400376,0.882802,0.321323
0.59,0.391997,0.891656,0.317133
0.6,0.383859,0.898993,0.313553
0.61,0.375904,0.904878,0.310508
0.62,0.368081,0.909389,0.307923
0.63,0.360346,0.912607,0.305713
0.64,0.352662,0.914612,0.303797
0.65,0.345007,0.915471,0.302088
0.66,0.337366,0.915237,0.300501
0.67,0.329735,0.913938,0.298955
0.68,0.322121,0.911573,0.297366
0.69,0.314533,0.908105,0.295654
0.7,0.306987,0.903459,0.293741
0.71,0.299495,0.897519,0.291547
0.72,0.292068,0.890124,0.288993
0.73,0.28471,0.881065,0.285996
0.74,0.277415,0.870086,0.282472
0.75,0.270165,0.856881,0.278333
0.76,0.262933,0.841093,0.273488
0.77,0.255675,0.822315,0.267848
0.78,0.248339,0.800095,0.261323
0.79,0.240864,0.773937,0.253831
0.8,0.233183,0.743321,0.245308
0.81,0.225234,0.707722,0.235712
0.82,0.216963,0.666649,0.225042
0.83,0.208336,0.619715,0.213352
0.84,0.199357,0.566731,0.200768
0.85,0.19008,0.507858,0.187514
0.86,0.180624,0.443794,0.173918
0.87,0.171188,0.376002,0.160421
0.88,0.16205,0.306878,0.147548
0.89,0.15355,0.239718,0.135855
0.9,0.146037,0.178293,0.125826
0.91,0.139786,0.125962,0.117757
0.92,0.134923,0.0846723,0.111686
0.93,0.131385,0.0544508,0.107402
0.94,0.128965,0.0337518,0.104543
0.95,0.127395,0.0203124,0.102721
0.96,0.126418,0.0119211,0.101602
0.97,0.125834,0.00680039,0.100939
0.98,0.125505,0.00366321,0.100567
0.99,0.125352,0.00161071,0.100395
1,0.125352,0,0.100395
