x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,0,1
0.14,1,0,1
0.15,1,0,1
0.16,1,0,1
0.17,1,0,1
0.18,1,5.86481e-18,1
0.19,1,6.46147e-17,1
0.2,1,6.52172e-16,1
0.21,1,5.65299e-15,1
0.22,1,4.60994e-14,1
0.23,1,3.6309e-13,1
0.24,1,2.79621e-12,1
0.25,1,2.10445e-11,1
0.26,1,1.48374e-10,1
0.27,1,9.80837e-10,1
0.28,1,6.01907e-09,1
0.29,1,2.79993e-08,1
0.3,1,1.33188e-07,1
0.31,0.999999,6.04509e-07,0.999999
0.32,0.999998,2.56804e-06,0.999997
0.33,0.999991,1.01927e-05,0.999988
0.34,0.999967,3.77041e-05,0.999955
0.35,0.999887,0.000129622,0.999846
0.36,0.999641,0.000412836,0.99951
0.37,0.998939,0.00121385,0.99856
0.38,0.997119,0.00328233,0.996104
0.39,0.992827,0.00813028,0.990359
0.4,0.983709,0.0183746,0.978275
0.41,0.966421,0.0377537,0.955678
0.42,0.93747,0.070337,0.918526
0.43,0.895013,0.118761,0.865324
0.44,0.840481,0.182394,0.799014
0.45,0.77823,0.257232,0.726013
0.46,0.713255,0.337929,0.652888
0.47,0.649335,0.419814,0.584053
0.48,0.588756,0.499341,0.521736
0.49,0.532752,0.573704,0.466798
0.5,0.481918,0.638391,0.419628
0.51,0.435907,0.692463,0.37919
0.52,0.3944,0.735664,0.344464
0.53,0.35746,0.763381,0.315326
0.54,0.32451,0.773595,0.29066
0.55,0.294927,0.764776,0.269201
0.56,0.26812,0.736043,0.249603
0.57,0.243595,0.687248,0.230601
0.58,0.22103,0.619078,0.211228
0.59,0.20031,0.533358,0.191066
0.6,0.18154,0.433794,0.170448
0.61,0.165033,0.327118,0.150506
0.62,0.151256,0.22381,0.132912
0.63,0.140668,0.136299,0.119223
0.64,0.133419,0.073419,0.110047
0.65,0.129086,0.0353938,0.104757
0.66,0.126817,0.0156062,0.102079
0.67,0.125752,0.00641819,0.100851
0.68,0.125293,0.00249244,0.10033
0.69,0.125108,0.000919737,0.100122
0.7,0.125038,0.000323405,0.100043
0.71,0.125013,0.000108485,0.100014
0.72,0.125004,3.47318e-05,0.100005
0.73,0.125001,1.06145e-05,0.100001
0.74,0.125,3.09696e-06,0.1
0.75,0.125,8.64054e-07,0.1
0.76,0.125,2.25885e-07,0.1
0.77,0.125,5.41983e-08,0.1
0.78,0.125,1.42797e-08,0.1
0.79,0.125,3.76823e-09,0.1
0.8,0.125,8.45706e-10,0.1
0.81,0.125,1.80301e-10,0.1
0.82,0.125,3.66697e-11,0.1
0.83,0.125,7.12089e-12,0.1
0.84,0.125,1.32112e-12,0.1
0.85,0.125,2.34149e-13,0.1
0.86,0.125,3.96653e-14,0.1
0.87,0.125,6.38496e-15,0.1
0.88,0.125,9.57222e-16,0.1
0.89,0.125,1.11539e-16,0.1
0.9,0.125,5.86481e-18,0.1
0.91,0.125,0,0.1
0.92,0.125,0,0.1
0.93,0.125,0,0.1
0.94,0.125,0,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,0,0.1
0.99,0.125,0,0.1
1,0.125,0,0.1
