x,rho,u,p
0,1,0,1
0.01,1,5.39207e-10,1
0.02,1,2.36305e-09,1
0.03,1,7.39629e-09,1
0.04,1,1.81205e-08,1
0.05,1,4.36135e-08,1
0.06,1,1.14219e-07,1
0.07,1,2.89127e-07,1
0.08,0.999999,7.12489e-07,0.999999
0.09,0.999999,1.70935e-06,0.999998
0.1,0.999997,3.99047e-06,0.999995
0.11,0.999992,9.05997e-06,0.999989
0.12,0.999983,1.99937e-05,0.999976
0.13,0.999964,4.28608e-05,0.999949
0.14,0.999925,8.91976e-05,0.999894
0.15,0.999848,0.000180087,0.999787
0.16,0.999702,0.000352489,0.999583
0.17,0.999435,0.000668394,0.999209
0.18,0.998962,0.00122695,0.998549
0.19,0.998157,0.00217879,0.997424
0.2,0.996837,0.0037402,0.995582
0.21,0.994755,0.00620292,0.992681
0.22,0.991603,0.00993356,0.988299
0.23,0.987031,0.0153565,0.981958
0.24,0.980674,0.022917,0.973173
0.25,0.972209,0.0330265,0.961527
0.26,0.96141,0.0460016,0.946751
0.27,0.948188,0.0620136,0.928779
0.28,0.932613,0.0810633,0.907771
0.29,0.914895,0.102992,0.884086
0.3,0.895347,0.127518,0.858216
0.31,0.874332,0.154291,0.830711
0.32,0.852217,0.182937,0.802113
0.33,0.829344,0.213097,0.772911
0.34,0.806011,0.244443,0.743525
0.35,0.782469,0.276686,0.714296
0.36,0.758923,0.309576,0.685494
0.37,0.735543,0.342899,0.657332
0.38,0.712462,0.376466,0.629969
0.39,0.689789,0.41011,0.603529
0.4,0.667614,0.443681,0.578102
0.41,0.646006,0.477038,0.553755
0.42,0.625025,0.510048,0.530537
0.43,0.604719,0.54258,0.508482
0.44,0.585125,0.574506,0.487614
0.45,0.566275,0.605696,0.467948
0.46,0.548193,0.636021,0.449493
0.47,0.530897,0.665346,0.432254
0.48,0.5144,0.693534,0.416233
0.49,0.498712,0.720442,0.40143
0.5,0.483834,0.745928,0.387847
0.51,0.469761,0.769548,0.375523
0.52,0.456395,0.791474,0.364324
0.53,0.44368,0.811929,0.354151
0.54,0.431641,0.8305,0.345073
0.55,0.42023,0.847099,0.33705
0.56,0.409385,0.861675,0.330026
0.57,0.399037,0.874207,0.323931
0.58,0.38911,0.884707,0.318684
0.59,0.37953,0.893213,0.314194
0.6,0.370225,0.899785,0.310357
0.61,0.361129,0.904496,0.307063
0.62,0.352184,0.907425,0.304196
0.63,0.343345,0.908647,0.301634
0.64,0.334579,0.908216,0.299253
0.65,0.325866,0.90616,0.29693
0.66,0.317197,0.902466,0.294543
0.67,0.30857,0.897071,0.29197
0.68,0.29999,0.889857,0.289095
0.69,0.29146,0.880645,0.285802
0.7,0.282983,0.869187,0.281974
0.71,0.274549,0.855171,0.277501
0.72,0.266142,0.838216,0.272268
0.73,0.257732,0.817877,0.266169
0.74,0.249276,0.79365,0.259102
0.75,0.240722,0.764986,0.250978
0.76,0.23201,0.73131,0.241731
0.77,0.223086,0.692058,0.231331
0.78,0.213903,0.646736,0.219801
0.79,0.204441,0.595011,0.207234
0.8,0.194725,0.536854,0.193821
0.81,0.184839,0.472738,0.179868
0.82,0.174947,0.403883,0.165806
0.83,0.165302,0.332496,0.152182
0.84,0.156236,0.261852,0.139603
0.85,0.14812,0.195995,0.128642
0.86,0.14128,0.138883,0.119704
0.87,0.135901,0.0931956,0.112916
0.88,0.131965,0.0595105,0.108108
0.89,0.129273,0.0364475,0.104908
0.9,0.127537,0.021593,0.102887
0.91,0.126467,0.0124649,0.101659
0.92,0.125831,0.00704861,0.100936
0.93,0.125462,0.00391799,0.100519
0.94,0.125253,0.00214516,0.100284
0.95,0.125137,0.00115801,0.100153
0.96,0.125073,0.000616066,0.100082
0.97,0.125039,0.000321468,0.100043
0.98,0.125021,0.000160514,0.100024
0.99,0.125013,6.70259e-05,0.100015
1,0.125013,0,0.100015
