x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,0,1
0.14,1,6.31099e-17,1
0.15,1,5.27934e-16,1
0.16,1,3.72509e-15,1
0.17,1,2.43804e-14,1
0.18,1,1.52872e-13,1
0.19,1,9.32486e-13,1
0.2,1,5.57986e-12,1
0.21,1,3.3129e-11,1
0.22,1,1.92368e-10,1
0.23,1,1.08898e-09,1
0.24,1,5.65573e-09,1
0.25,1,2.19588e-08,1
0.26,1,8.86783e-08,1
0.27,1,3.48419e-07,1
0.28,0.999999,1.29872e-06,0.999998
0.29,0.999996,4.58484e-06,0.999995
0.3,0.999987,1.53046e-05,0.999982
0.31,0.999959,4.82141e-05,0.999943
0.32,0.999878,0.000143041,0.999831
0.33,0.999659,0.000398727,0.999528
0.34,0.999107,0.00104166,0.998767
0.35,0.997814,0.00254356,0.99699
0.36,0.995011,0.0057892,0.993155
0.37,0.989416,0.0122479,0.985553
0.38,0.979198,0.0240264,0.971795
0.39,0.962231,0.0436211,0.949226
0.4,0.936753,0.0732534,0.915875
0.41,0.902224,0.113963,0.871586
0.42,0.859779,0.16502,0.818489
0.43,0.811825,0.224184,0.760245
0.44,0.761066,0.288626,0.700615
0.45,0.709765,0.355739,0.642477
0.46,0.659529,0.423416,0.58766
0.47,0.611417,0.489969,0.537185
0.48,0.566095,0.553969,0.491548
0.49,0.523967,0.614132,0.450933
0.5,0.485268,0.667223,0.415615
0.51,0.449569,0.713543,0.384718
0.52,0.416638,0.753913,0.357536
0.53,0.386691,0.784927,0.334339
0.54,0.359388,0.805492,0.314537
0.55,0.334353,0.814701,0.29744
0.56,0.311199,0.811862,0.282262
0.57,0.289562,0.796496,0.268162
0.58,0.269136,0.768286,0.254303
0.59,0.249697,0.727018,0.239935
0.6,0.231117,0.672583,0.224503
0.61,0.213372,0.605119,0.207747
0.62,0.196538,0.525412,0.189797
0.63,0.180803,0.435585,0.171234
0.64,0.166471,0.339989,0.153078
0.65,0.153961,0.245781,0.136645
0.66,0.143742,0.16207,0.123187
0.67,0.13613,0.0967343,0.113401
0.68,0.131064,0.052511,0.107119
0.69,0.128059,0.0263119,0.103523
0.7,0.126448,0.0123769,0.101646
0.71,0.12565,0.00553666,0.100734
0.72,0.12528,0.00237387,0.100314
0.73,0.125116,0.000979514,0.10013
0.74,0.125046,0.000389703,0.100052
0.75,0.125018,0.000149614,0.10002
0.76,0.125007,5.54445e-05,0.100007
0.77,0.125002,1.98354e-05,0.100003
0.78,0.125001,6.85087e-06,0.100001
0.79,0.125,2.28444e-06,0.1
0.8,0.125,7.35566e-07,0.1
0.81,0.125,2.25551e-07,0.1
0.82,0.125,6.37607e-08,0.1
0.83,0.125,1.92989e-08,0.1
0.84,0.125,6.12578e-09,0.1
0.85,0.125,1.69555e-09,0.1
0.86,0.125,4.46499e-10,0.1
0.87,0.125,1.13396e-10,0.1
0.88,0.125,2.78067e-11,0.1
0.89,0.125,6.58702e-12,0.1
0.9,0.125,1.50768e-12,0.1
0.91,0.125,3.33463e-13,0.1
0.92,0.125,7.12157e-14,0.1
0.93,0.125,1.47194e-14,0.1
0.94,0.125,2.89177e-15,0.1
0.95,0.125,5.56394e-16,0.1
0.96,0.125,6.87966e-17,0.1
0.97,0.125,0,0.1
0.98,0.125,0,0.1
0.99,0.125,0,0.1
1,0.125,0,0.1
